TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	15:31:38
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  649.8934
LASTX	 4000.6047
NPOINTS	    3476
FIRSTY	    90.93753
MAXY	   100.05249
MINY	    13.18448
XYDATA
649.8934	90.9375
650.8576	90.9094
651.8218	90.968
652.7861	90.9917
653.7503	90.8588
654.7145	90.5185
655.6788	90.0214
656.6430	89.4818
657.6072	88.9962
658.5715	88.5835
659.5357	88.1892
660.4999	87.7418
661.4642	87.2084
662.4284	86.5986
663.3926	85.9245
664.3569	85.1698
665.3211	84.3003
666.2853	83.2988
667.2496	82.171
668.2138	80.8611
669.1780	79.1484
670.1423	76.7465
671.1065	73.5497
672.0707	69.7839
673.0350	66.0449
673.9992	63.2339
674.9634	62.269
675.9277	63.5796
676.8919	66.7251
677.8561	70.529
678.8204	73.6449
679.7846	75.1016
680.7488	74.5389
681.7131	72.1517
682.6773	68.4887
683.6415	64.2566
684.6058	60.2064
685.5700	57.0666
686.5342	55.4305
687.4985	55.5786
688.4627	57.3373
689.4269	60.1066
690.3912	63.0738
691.3554	65.4962
692.3196	66.9006
693.2839	67.1251
694.2481	66.2275
695.2123	64.3428
696.1766	61.5709
697.1408	57.9362
698.1050	53.4193
699.0693	48.0314
700.0335	41.8964
700.9977	35.3062
701.9620	28.7231
702.9262	22.7199
703.8904	17.869
704.8547	14.6165
705.8189	13.1845
706.7831	13.536
707.7474	15.413
708.7116	18.43
709.6758	22.1845
710.6401	26.3418
711.6043	30.6711
712.5685	35.0369
713.5328	39.3682
714.4970	43.6311
715.4612	47.8153
716.4255	51.9318
717.3897	56.0094
718.3539	60.0799
719.3182	64.1525
720.2824	68.1908
721.2466	72.1083
722.2109	75.7906
723.1751	79.1328
724.1393	82.0709
725.1036	84.5914
726.0678	86.7178
727.0320	88.487
727.9963	89.9311
728.9605	91.0737
729.9247	91.9391
730.8890	92.5664
731.8532	93.0162
732.8174	93.3622
733.7817	93.6712
734.7459	93.9835
735.7101	94.3064
736.6744	94.626
737.6386	94.9278
738.6028	95.2118
739.5671	95.4903
740.5313	95.7718
741.4955	96.0447
742.4598	96.2783
743.4240	96.4405
744.3882	96.521
745.3525	96.5428
746.3167	96.5512
747.2809	96.5893
748.2452	96.6755
749.2094	96.7977
750.1736	96.9245
751.1379	97.0262
752.1021	97.0901
753.0663	97.1246
754.0306	97.1509
754.9948	97.1905
755.9590	97.2552
756.9233	97.3446
757.8875	97.4494
758.8517	97.5582
759.8160	97.6623
760.7802	97.7561
761.7444	97.8346
762.7087	97.892
763.6729	97.9238
764.6371	97.9329
765.6014	97.933
766.5656	97.9442
767.5298	97.9816
768.4941	98.0438
769.4583	98.1113
770.4225	98.1578
771.3868	98.1682
772.3510	98.1493
773.3152	98.1261
774.2795	98.1244
775.2437	98.1528
776.2079	98.196
777.1722	98.2249
778.1364	98.2157
779.1006	98.1652
780.0649	98.0919
781.0291	98.0233
781.9933	97.9785
782.9576	97.9579
783.9218	97.9459
784.8860	97.923
785.8503	97.8799
786.8145	97.8226
787.7787	97.7678
788.7430	97.7304
789.7072	97.7137
790.6714	97.7068
791.6357	97.6905
792.5999	97.6454
793.5641	97.5581
794.5284	97.4223
795.4926	97.2361
796.4568	97.0004
797.4211	96.7173
798.3853	96.3868
799.3495	96.0024
800.3138	95.5474
801.2780	94.9993
802.2422	94.3454
803.2065	93.6024
804.1707	92.8298
805.1349	92.1239
806.0992	91.5924
807.0634	91.3184
808.0276	91.3293
808.9919	91.585
809.9561	91.9887
810.9203	92.4166
811.8846	92.7512
812.8488	92.9051
813.8130	92.8224
814.7773	92.4594
815.7415	91.7636
816.7057	90.6726
817.6700	89.15
818.6342	87.2494
819.5984	85.1695
820.5627	83.2556
821.5269	81.9234
822.4911	81.525
823.4554	82.2171
824.4196	83.895
825.3839	86.2291
826.3481	88.7844
827.3123	91.1657
828.2766	93.1201
829.2408	94.5639
830.2050	95.5441
831.1693	96.1719
832.1335	96.5657
833.0977	96.8202
834.0620	96.9975
835.0262	97.1313
835.9904	97.2344
836.9547	97.307
837.9189	97.3451
838.8831	97.3476
839.8474	97.3198
840.8116	97.2722
841.7758	97.2168
842.7401	97.163
843.7043	97.1151
844.6685	97.0717
845.6328	97.0277
846.5970	96.9773
847.5612	96.9193
848.5255	96.8606
849.4897	96.8164
850.4539	96.8043
851.4182	96.836
852.3824	96.9113
853.3466	97.0184
854.3109	97.1411
855.2751	97.2672
856.2393	97.3916
857.2036	97.5144
858.1678	97.6336
859.1320	97.742
860.0963	97.8282
861.0605	97.8833
862.0247	97.9069
862.9890	97.9101
863.9532	97.9114
864.9174	97.9293
865.8817	97.9744
866.8459	98.0437
867.8101	98.1202
868.7744	98.1793
869.7386	98.1997
870.7028	98.175
871.6671	98.1192
872.6313	98.062
873.5955	98.0347
874.5598	98.0541
875.5240	98.1139
876.4882	98.1876
877.4525	98.2442
878.4167	98.263
879.3809	98.243
880.3452	98.1991
881.3094	98.1515
882.2736	98.1153
883.2379	98.0962
884.2021	98.0933
885.1663	98.1031
886.1306	98.1209
887.0948	98.1402
888.0590	98.1513
889.0233	98.1439
889.9875	98.1128
890.9517	98.0622
891.9160	98.0049
892.8802	97.9565
893.8444	97.9273
894.8087	97.9175
895.7729	97.9186
896.7371	97.9183
897.7014	97.9061
898.6656	97.8758
899.6298	97.8259
900.5941	97.7595
901.5583	97.6841
902.5225	97.6103
903.4868	97.549
904.4510	97.5065
905.4152	97.4806
906.3795	97.4607
