TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	15:36:44
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  649.8934
LASTX	 4000.6047
NPOINTS	    3476
FIRSTY	    85.36781
MAXY	    99.37236
MINY	    67.77869
XYDATA
649.8934	85.3678
650.8576	85.4158
651.8218	85.5055
652.7861	85.5663
653.7503	85.5605
654.7145	85.502
655.6788	85.446
656.6430	85.4543
657.6072	85.5605
658.5715	85.7527
659.5357	85.9813
660.4999	86.1861
661.4642	86.3298
662.4284	86.4151
663.3926	86.474
664.3569	86.5422
665.3211	86.6396
666.2853	86.76
667.2496	86.8705
668.2138	86.9329
669.1780	86.9458
670.1423	86.9493
671.1065	86.9802
672.0707	87.0432
673.0350	87.117
673.9992	87.1688
674.9634	87.1711
675.9277	87.1182
676.8919	87.0334
677.8561	86.9592
678.8204	86.9352
679.7846	86.981
680.7488	87.0893
681.7131	87.2279
682.6773	87.3517
683.6415	87.418
684.6058	87.4027
685.5700	87.3083
686.5342	87.1615
687.4985	86.9997
688.4627	86.8539
689.4269	86.7384
690.3912	86.6506
691.3554	86.5812
692.3196	86.5234
693.2839	86.475
694.2481	86.4328
695.2123	86.3873
696.1766	86.3248
697.1408	86.2361
698.1050	86.1246
699.0693	86.0071
700.0335	85.9042
700.9977	85.8292
701.9620	85.7831
702.9262	85.7581
703.8904	85.7437
704.8547	85.7305
705.8189	85.709
706.7831	85.6691
707.7474	85.6054
708.7116	85.5265
709.6758	85.4613
710.6401	85.4516
711.6043	85.5314
712.5685	85.7053
713.5328	85.9389
714.4970	86.172
715.4612	86.3483
716.4255	86.443
717.3897	86.4726
718.3539	86.483
719.3182	86.5252
720.2824	86.6316
721.2466	86.8058
722.2109	87.0283
723.1751	87.2727
724.1393	87.5218
725.1036	87.7747
726.0678	88.0417
727.0320	88.3337
727.9963	88.6517
728.9605	88.9838
729.9247	89.3103
730.8890	89.6148
731.8532	89.892
732.8174	90.1466
733.7817	90.3837
734.7459	90.5996
735.7101	90.7793
736.6744	90.9064
737.6386	90.9769
738.6028	91.007
739.5671	91.0262
740.5313	91.0613
741.4955	91.1206
742.4598	91.1914
743.4240	91.2517
744.3882	91.2879
745.3525	91.3036
746.3167	91.3168
747.2809	91.3461
748.2452	91.3977
749.2094	91.462
750.1736	91.5202
751.1379	91.555
752.1021	91.5584
753.0663	91.5341
754.0306	91.4945
754.9948	91.456
755.9590	91.434
756.9233	91.4362
757.8875	91.4583
758.8517	91.4824
759.8160	91.4835
760.7802	91.442
761.7444	91.3559
762.7087	91.2445
763.6729	91.1395
764.6371	91.0686
765.6014	91.0406
766.5656	91.0416
767.5298	91.0441
768.4941	91.0227
769.4583	90.9657
770.4225	90.877
771.3868	90.7673
772.3510	90.645
773.3152	90.5099
774.2795	90.3556
775.2437	90.1742
776.2079	89.959
777.1722	89.7041
778.1364	89.4008
779.1006	89.0372
780.0649	88.5991
781.0291	88.0745
781.9933	87.4575
782.9576	86.7537
783.9218	85.9884
784.8860	85.2156
785.8503	84.5231
786.8145	84.0221
787.7787	83.8182
788.7430	83.9711
789.7072	84.4612
790.6714	85.1821
791.6357	85.9679
792.5999	86.6461
793.5641	87.0919
794.5284	87.261
795.4926	87.1891
796.4568	86.967
797.4211	86.7081
798.3853	86.5223
799.3495	86.4994
800.3138	86.698
801.2780	87.135
802.2422	87.7811
803.2065	88.5654
804.1707	89.3948
805.1349	90.1802
806.0992	90.8599
807.0634	91.4098
808.0276	91.8371
808.9919	92.1649
809.9561	92.4174
810.9203	92.6115
811.8846	92.7576
812.8488	92.8625
813.8130	92.9337
814.7773	92.9801
815.7415	93.0114
816.7057	93.0348
817.6700	93.0517
818.6342	93.0568
819.5984	93.0393
820.5627	92.9898
821.5269	92.908
822.4911	92.8056
823.4554	92.7029
824.4196	92.6173
825.3839	92.5541
826.3481	92.503
827.3123	92.4463
828.2766	92.3705
829.2408	92.2747
830.2050	92.1699
831.1693	92.0701
832.1335	91.9833
833.0977	91.9078
834.0620	91.8367
835.0262	91.7643
835.9904	91.6906
836.9547	91.6198
837.9189	91.5565
838.8831	91.5012
839.8474	91.4503
840.8116	91.3983
841.7758	91.3407
842.7401	91.2762
843.7043	91.2065
844.6685	91.1345
845.6328	91.0621
846.5970	90.9879
847.5612	90.9072
848.5255	90.8148
849.4897	90.7086
850.4539	90.593
851.4182	90.4788
852.3824	90.3776
853.3466	90.2948
854.3109	90.224
855.2751	90.1495
856.2393	90.0537
857.2036	89.9274
858.1678	89.7763
859.1320	89.6177
860.0963	89.4723
861.0605	89.3529
862.0247	89.2598
862.9890	89.1832
863.9532	89.1119
864.9174	89.0414
865.8817	88.9761
866.8459	88.9241
867.8101	88.8891
868.7744	88.8657
869.7386	88.8432
870.7028	88.8144
871.6671	88.7844
872.6313	88.7712
873.5955	88.797
874.5598	88.8755
875.5240	89.003
876.4882	89.16
877.4525	89.3201
878.4167	89.4618
879.3809	89.5751
880.3452	89.6598
881.3094	89.7194
882.2736	89.753
883.2379	89.7498
884.2021	89.6876
885.1663	89.5361
886.1306	89.266
887.0948	88.8625
888.0590	88.3397
889.0233	87.7474
889.9875	87.1648
890.9517	86.68
891.9160	86.3637
892.8802	86.2495
893.8444	86.3302
894.8087	86.5686
895.7729	86.9169
896.7371	87.3325
897.7014	87.7849
898.6656	88.2527
899.6298	88.7176
900.5941	89.1583
901.5583	89.5506
902.5225	89.8702
903.4868	90.0975
904.4510	90.2206
905.4152	90.2352
906.3795	90.1419
