Wavelength (nm),Intensity (uW)
353.086224,0.000155
353.517923,0.000155
354.848141,0.000155
355.006961,0.000155
355.838318,0.000155
356.642961,0.000155
357.368448,0.000155
358.143738,0.000155
358.910943,0.000156
359.724373,0.000156
360.463005,0.000156
361.233283,0.000156
362.005487,0.000156
362.782612,0.000156
363.583052,0.000156
364.321272,0.000156
365.101821,0.000156
365.875526,0.000156
366.638575,0.000156
367.444477,0.000156
368.178171,0.000156
368.949383,0.000156
369.729300,0.000156
370.495930,0.000155
371.275355,0.000155
371.993397,0.000155
372.767090,0.000155
373.538343,0.000155
374.305979,0.000155
375.096310,0.000155
375.849164,0.000156
376.621606,0.000156
377.391250,0.000156
378.162360,0.000156
378.994638,0.000156
379.746260,0.000156
380.512667,0.000156
381.280528,0.000156
382.044721,0.000156
382.854984,0.000157
383.587072,0.000157
384.358190,0.000157
385.133092,0.000157
385.890991,0.000157
386.683748,0.000158
387.430438,0.000158
388.197015,0.000158
388.970976,0.000158
389.733421,0.000159
390.542016,0.000159
391.280657,0.000160
392.052525,0.000161
392.818872,0.000161
393.580539,0.000162
394.372563,0.000164
395.126325,0.000165
395.896814,0.000167
396.652363,0.000169
397.426193,0.000171
398.207064,0.000174
398.957805,0.000178
399.720582,0.000182
400.489630,0.000188
401.260147,0.000194
402.056135,0.000202
402.792959,0.000211
403.544802,0.000222
404.320616,0.000235
405.089651,0.000250
405.882638,0.000268
406.617214,0.000288
407.390813,0.000314
408.146226,0.000344
408.920422,0.000378
409.680367,0.000418
410.451218,0.000464
411.209031,0.000517
411.977536,0.000579
412.745081,0.000651
413.532302,0.000734
414.273352,0.000832
415.032359,0.000945
415.809875,0.001070
416.575827,0.001210
417.361921,0.001369
418.087304,0.001548
418.858974,0.001752
419.624348,0.001980
420.383613,0.002228
421.185352,0.002508
421.914922,0.002824
422.689486,0.003172
423.441412,0.003547
424.212406,0.003952
424.985217,0.004391
425.724461,0.004867
426.503693,0.005379
427.257694,0.005932
428.026525,0.006544
428.815727,0.007206
429.551693,0.007908
430.318806,0.008644
431.069519,0.009426
431.845583,0.010262
432.636800,0.011153
433.372009,0.012088
434.122170,0.013081
434.904212,0.014155
435.653192,0.015300
436.441337,0.016510
437.153668,0.017771
437.929440,0.019092
438.707013,0.020496
439.454023,0.021986
440.263873,0.023545
440.979866,0.025200
441.727185,0.026927
442.506592,0.028654
443.268406,0.030339
444.019893,0.031909
444.792100,0.033323
445.553209,0.034549
446.315582,0.035521
447.085406,0.036187
447.782589,0.036533
448.585509,0.036531
449.342065,0.036155
450.115372,0.035419
450.866278,0.034353
451.632735,0.033016
452.376894,0.031453
453.145382,0.029714
453.897289,0.027935
454.660715,0.026134
455.420231,0.024338
456.181369,0.022637
456.939170,0.021067
457.684101,0.019653
458.456736,0.018380
459.199944,0.017231
459.975407,0.016189
460.704490,0.015257
461.491571,0.014392
462.236603,0.013571
463.003783,0.012808
463.754474,0.012103
464.518014,0.011449
465.267218,0.010836
466.025037,0.010257
466.793797,0.009698
467.533478,0.009159
468.291513,0.008634
469.053007,0.008124
469.815072,0.007639
470.564006,0.007187
471.319943,0.006771
472.070874,0.006387
472.786311,0.006040
473.579618,0.005724
474.323523,0.005439
475.060352,0.005185
475.858851,0.004962
476.609787,0.004769
477.363448,0.004599
478.118401,0.004449
478.878554,0.004314
479.624703,0.004194
480.382883,0.004085
481.150267,0.003989
481.903449,0.003903
482.643681,0.003829
483.402207,0.003767
484.142014,0.003717
484.933845,0.003680
485.655688,0.003657
486.411262,0.003646
487.166197,0.003650
487.916856,0.003668
488.658295,0.003704
489.424131,0.003756
490.179288,0.003827
490.931593,0.003914
491.683576,0.004020
492.454519,0.004142
493.227516,0.004280
493.923523,0.004435
494.696819,0.004609
495.435528,0.004798
496.212584,0.004999
496.939237,0.005210
497.697693,0.005433
498.452603,0.005672
499.204723,0.005927
499.983721,0.006195
500.685644,0.006470
501.447494,0.006760
502.195036,0.007069
502.949037,0.007382
503.719806,0.007696
504.442481,0.008014
505.174526,0.008335
505.954645,0.008660
506.690524,0.008988
507.474052,0.009317
508.186941,0.009660
508.933316,0.010013
509.688272,0.010365
510.452680,0.010715
511.189768,0.011062
511.941426,0.011409
512.637888,0.011755
513.440812,0.012099
514.179941,0.012434
514.953585,0.012768
515.684112,0.013105
516.413995,0.013430
517.176087,0.013741
517.926990,0.014047
518.707278,0.014349
519.404457,0.014646
520.167371,0.014938
520.910968,0.015219
521.657942,0.015496
522.430798,0.015770
523.141060,0.016033
523.895986,0.016284
524.647817,0.016527
525.385509,0.016765
526.141538,0.016995
526.885107,0.017217
527.619700,0.017435
528.368883,0.017648
529.125358,0.017854
529.893434,0.018053
530.604840,0.018243
531.346281,0.018423
532.083758,0.018597
532.846839,0.018764
533.620530,0.018925
534.324419,0.019080
535.080381,0.019231
535.818107,0.019376
536.556670,0.019516
537.332490,0.019649
538.054904,0.019776
538.795282,0.019898
539.542812,0.020016
540.277451,0.020129
541.047445,0.020238
541.750434,0.020343
542.517495,0.020441
543.247100,0.020533
