Wavelength (nm),Intensity (uW)
351.773669,0.000117
352.385824,0.000118
353.066880,0.000118
353.896409,0.000118
354.695565,0.000119
355.434654,0.000119
356.166830,0.000119
357.002111,0.000119
357.722110,0.000119
358.578131,0.000120
359.255959,0.000120
360.036144,0.000120
360.864325,0.000120
361.607138,0.000120
362.506144,0.000120
363.134097,0.000120
363.923447,0.000120
364.724633,0.000120
365.495506,0.000120
366.308326,0.000120
366.982712,0.000119
367.783210,0.000119
368.595345,0.000120
369.352743,0.000120
370.199115,0.000120
370.823577,0.000120
371.655368,0.000120
372.441467,0.000120
373.204479,0.000120
374.080995,0.000120
374.679084,0.000120
375.511827,0.000120
376.298475,0.000120
377.063963,0.000120
377.891341,0.000120
378.538048,0.000120
379.359392,0.000120
380.132793,0.000120
380.886170,0.000120
381.743563,0.000120
382.386447,0.000120
383.216628,0.000120
383.993505,0.000120
384.757844,0.000120
385.601099,0.000120
386.234506,0.000120
387.005113,0.000120
387.832234,0.000121
388.616331,0.000121
389.427208,0.000120
390.072504,0.000121
390.874803,0.000121
391.646643,0.000121
392.439660,0.000121
393.295928,0.000121
393.904285,0.000121
394.724166,0.000121
395.519206,0.000121
396.274061,0.000121
397.086368,0.000121
397.769795,0.000121
398.556395,0.000121
399.332366,0.000121
400.111341,0.000121
400.993185,0.000121
401.582328,0.000121
402.392384,0.000121
403.196648,0.000121
403.957607,0.000121
404.786747,0.000121
405.421205,0.000121
406.223277,0.000121
406.994395,0.000121
407.782452,0.000121
408.606856,0.000121
409.235076,0.000121
410.049646,0.000121
410.853740,0.000121
411.608272,0.000121
412.433657,0.000121
413.076129,0.000121
413.906023,0.000121
414.669447,0.000121
415.424323,0.000121
416.282612,0.000121
416.898518,0.000121
417.730630,0.000121
418.518438,0.000121
419.242629,0.000121
420.087077,0.000121
420.718170,0.000122
421.498313,0.000122
422.310045,0.000122
423.077260,0.000122
423.905722,0.000122
424.537875,0.000122
425.320023,0.000122
426.141558,0.000122
426.904251,0.000122
427.702396,0.000122
428.344977,0.000122
429.193248,0.000122
429.952235,0.000122
430.716264,0.000122
431.520668,0.000123
432.166463,0.000123
432.993121,0.000123
433.763681,0.000123
434.508910,0.000124
435.342011,0.000124
435.977590,0.000124
436.805133,0.000124
437.580483,0.000125
438.266037,0.000125
439.139016,0.000125
440.203017,0.000126
440.540021,0.000126
441.333723,0.000126
442.135571,0.000127
442.959713,0.000127
443.595175,0.000128
444.367848,0.000128
445.163383,0.000128
445.889974,0.000128
446.685810,0.000128
447.396429,0.000129
448.228929,0.000129
448.966109,0.000129
449.733048,0.000129
450.590140,0.000129
451.182094,0.000130
451.980800,0.000130
452.774849,0.000130
453.520765,0.000130
454.356138,0.000131
454.973817,0.000131
455.767209,0.000131
456.567043,0.000132
457.296251,0.000133
458.152313,0.000134
458.770782,0.000135
459.556938,0.000138
460.355071,0.000143
461.103014,0.000150
461.955349,0.000160
462.548708,0.000176
463.331051,0.000201
464.148021,0.000239
464.877569,0.000294
465.716721,0.000370
466.343191,0.000470
467.167775,0.000595
467.928969,0.000746
468.674137,0.000921
469.512287,0.001119
470.112440,0.001335
470.891830,0.001564
471.710859,0.001798
472.458265,0.002029
473.244704,0.002243
473.902158,0.002434
474.702260,0.002603
475.479325,0.002746
476.232772,0.002865
477.054472,0.002962
477.678843,0.003038
478.486737,0.003095
479.226910,0.003135
479.978717,0.003164
480.814913,0.003181
481.446244,0.003191
482.231349,0.003193
483.012063,0.003190
483.715394,0.003182
484.496825,0.003173
485.209227,0.003163
486.034737,0.003155
486.771093,0.003151
487.532045,0.003151
488.337288,0.003158
488.977300,0.003172
489.743396,0.003196
490.554371,0.003232
491.307257,0.003281
492.101298,0.003345
492.741861,0.003422
493.506763,0.003514
494.317166,0.003621
495.062916,0.003742
495.864718,0.003879
496.495382,0.004029
497.280410,0.004196
498.079192,0.004378
498.825066,0.004570
499.621138,0.004770
500.251652,0.004984
501.043356,0.005213
501.822874,0.005455
502.556861,0.005709
503.352904,0.005968
504.003966,0.006244
504.785046,0.006537
505.572482,0.006834
506.292637,0.007130
507.058447,0.007427
507.751113,0.007728
508.566601,0.008034
509.320795,0.008343
510.051958,0.008654
510.872327,0.008978
511.494446,0.009312
512.314988,0.009645
513.063869,0.009976
513.792011,0.010303
514.554314,0.010631
515.232502,0.010958
516.017676,0.011282
516.804138,0.011600
517.522364,0.011916
518.355245,0.012233
518.971712,0.012539
519.752185,0.012833
520.535582,0.013123
521.266002,0.013409
522.084004,0.013691
522.705287,0.013967
523.506799,0.014233
524.255687,0.014497
525.011823,0.014756
525.841967,0.015005
526.423156,0.015243
527.246740,0.015475
527.973389,0.015699
528.689813,0.015917
529.567723,0.016127
530.166797,0.016334
530.927142,0.016537
531.761454,0.016733
532.419131,0.016921
533.260825,0.017101
533.882920,0.017273
534.643278,0.017439
535.447707,0.017599
536.184234,0.017752
536.990837,0.017901
537.609117,0.018046
538.409687,0.018183
539.126259,0.018316
539.896632,0.018443
540.710848,0.018565
541.324683,0.018683
542.127379,0.018796
542.865755,0.018904
543.589798,0.019010
544.420529,0.019110
545.038778,0.019205
545.808458,0.019294
546.581019,0.019378
547.321168,0.019457
548.143953,0.019533
548.732515,0.019607
549.514460,0.019677
550.286790,0.019744
551.015926,0.019810
551.824034,0.019871
552.440319,0.019928
553.210287,0.019982
553.997146,0.020032
554.685285,0.020077
555.535708,0.020120
556.132606,0.020160
556.895903,0.020198
557.683829,0.020236
558.436567,0.020271
559.196975,0.020302
559.835957,0.020328
560.637582,0.020353
561.372004,0.020375
562.123009,0.020395
562.887891,0.020411
563.531457,0.020423
564.333141,0.020435
565.080279,0.020445
565.762614,0.020452
566.530474,0.020455
567.217003,0.020455
567.953813,0.020453
568.696884,0.020449
569.428631,0.020441
570.196805,0.020431
570.901895,0.020417
571.636460,0.020401
572.394933,0.020383
573.164057,0.020362
574.339115,0.020337
574.580829,0.020311
575.346254,0.020282
576.103985,0.020251
576.857685,0.020216
