Wavelength (nm),Transmission
351.773669,NaN
352.385824,NaN
353.066880,NaN
353.896409,0.763959
354.695565,0.769117
355.434654,0.770997
356.166830,0.769177
357.002111,0.767444
357.722110,0.767875
358.578131,0.769231
359.255959,0.771598
360.036144,0.773508
360.864325,0.773142
361.607138,0.773484
362.506144,0.773271
363.134097,0.770518
363.923447,0.768784
364.724633,0.770281
365.495506,0.771670
366.308326,0.768589
366.982712,0.765932
367.783210,0.767039
368.595345,0.768235
369.352743,0.768333
370.199115,0.769326
370.823577,0.770585
371.655368,0.770448
372.441467,0.769688
373.204479,0.770646
374.080995,0.770792
374.679084,0.771169
375.511827,0.771323
376.298475,0.770229
377.063963,0.770229
377.891341,0.769572
378.538048,0.770336
379.359392,0.770427
380.132793,0.768696
380.886170,0.768342
381.743563,0.768382
382.386447,0.766359
383.216628,0.764941
383.993505,0.765314
384.757844,0.766194
385.601099,0.765391
386.234506,0.763393
387.005113,0.763215
387.832234,0.763871
388.616331,0.762627
389.427208,0.760628
390.072504,0.758526
390.874803,0.756427
391.646643,0.753337
392.439660,0.749995
393.295928,0.746650
393.904285,0.740797
394.724166,0.734943
395.519206,0.727572
396.274061,0.720063
397.086368,0.712991
397.769795,0.700086
398.556395,0.686106
399.332366,0.672198
400.111341,0.655521
400.993185,0.637224
401.582328,0.609048
402.392384,0.585677
403.196648,0.560436
403.957607,0.531617
404.786747,0.502471
405.421205,0.464773
406.223277,0.434469
406.994395,0.401195
407.782452,0.368569
408.606856,0.338504
409.235076,0.301560
410.049646,0.274129
410.853740,0.247814
411.608272,0.221495
412.433657,0.199169
413.076129,0.173106
413.906023,0.154800
414.669447,0.136984
415.424323,0.120305
416.282612,0.107714
416.898518,0.092954
417.730630,0.083270
418.518438,0.074143
419.242629,0.065130
420.087077,0.058496
420.718170,0.050822
421.498313,0.045259
422.310045,0.040646
423.077260,0.036336
423.905722,0.032869
424.537875,0.028914
425.320023,0.026202
426.141558,0.023923
426.904251,0.021643
427.702396,0.019679
428.344977,0.017555
429.193248,0.016167
429.952235,0.014785
430.716264,0.013565
431.520668,0.012551
432.166463,0.011410
432.993121,0.010583
433.763681,0.009813
434.508910,0.009072
435.342011,0.008467
435.977590,0.007754
436.805133,0.007269
437.580483,0.006796
438.266037,0.006285
439.139016,0.005931
440.203017,0.005686
440.540021,0.005131
441.333723,0.004843
442.135571,0.004574
442.959713,0.004340
443.595175,0.004090
444.367848,0.003912
445.163383,0.003767
445.889974,0.003650
446.685810,0.003577
447.396429,0.003533
448.228929,0.003525
448.966109,0.003554
449.733048,0.003615
450.590140,0.003697
451.182094,0.003865
451.980800,0.004043
452.774849,0.004255
453.520765,0.004528
454.356138,0.004807
454.973817,0.005225
455.767209,0.005613
456.567043,0.006039
457.296251,0.006531
458.152313,0.006978
458.770782,0.007646
459.556938,0.008302
460.355071,0.009065
461.103014,0.010099
461.955349,0.011380
462.548708,0.013444
463.331051,0.016207
464.148021,0.020251
464.877569,0.026382
465.716721,0.034885
466.343191,0.047287
467.167775,0.063117
467.928969,0.083712
468.674137,0.109846
469.512287,0.141083
470.112440,0.181236
470.891830,0.225013
471.710859,0.273035
472.458265,0.325763
473.244704,0.379692
473.902158,0.437632
474.702260,0.489733
475.479325,0.540740
476.232772,0.588911
477.054472,0.630233
477.678843,0.673346
478.486737,0.706598
479.226910,0.737747
479.978717,0.764924
480.814913,0.786839
481.446244,0.810441
482.231349,0.826776
483.012063,0.840023
483.715394,0.851283
484.496825,0.858298
485.209227,0.863007
486.034737,0.864153
486.771093,0.863682
487.532045,0.861112
488.337288,0.857216
488.977300,0.849497
489.743396,0.841814
490.554371,0.835090
491.307257,0.827207
492.101298,0.820652
492.741861,0.809226
493.506763,0.803522
494.317166,0.801025
495.062916,0.795453
495.864718,0.793500
496.495382,0.785763
497.280410,0.786799
498.079192,0.788579
498.825066,0.787772
499.621138,0.788223
500.251652,0.782964
501.043356,0.787057
501.822874,0.789021
502.556861,0.789397
503.352904,0.792425
504.003966,0.791435
504.785046,0.798764
505.572482,0.804560
506.292637,0.806767
507.058447,0.810553
507.751113,0.811175
508.566601,0.817010
509.320795,0.819173
510.051958,0.820358
510.872327,0.826346
511.494446,0.826328
512.314988,0.833651
513.063869,0.837120
513.792011,0.839378
514.554314,0.843273
515.232502,0.844441
516.017676,0.849491
516.804138,0.854024
517.522364,0.856897
518.355245,0.862491
518.971712,0.862802
519.752185,0.866837
520.535582,0.870221
521.266002,0.872770
522.084004,0.876603
522.705287,0.876672
523.506799,0.880647
524.255687,0.883419
525.011823,0.886375
525.841967,0.890168
526.423156,0.889725
527.246740,0.893077
527.973389,0.894699
528.689813,0.895885
529.567723,0.899033
530.166797,0.898979
530.927142,0.901444
531.761454,0.904521
532.419131,0.905346
533.260825,0.907719
533.882920,0.908050
534.643278,0.909850
535.447707,0.911704
536.184234,0.912880
536.990837,0.914529
537.609117,0.914781
