Wavelength (nm),Intensity (uW)
351.277274,0.000038
351.624370,0.000037
352.339445,0.000037
353.119887,0.000037
353.875899,0.000037
355.085029,0.000037
355.415854,0.000038
356.207106,0.000038
356.970282,0.000038
357.761664,0.000037
358.503269,0.000037
359.323760,0.000037
360.063127,0.000037
360.828674,0.000037
361.625112,0.000038
362.386681,0.000037
363.157878,0.000037
363.946159,0.000037
364.708200,0.000037
365.472240,0.000037
366.246481,0.000037
367.031444,0.000037
367.795765,0.000037
368.549795,0.000037
369.368951,0.000037
370.081889,0.000037
370.883174,0.000037
371.630599,0.000037
372.434605,0.000037
373.185549,0.000037
373.964552,0.000037
374.720392,0.000037
375.488615,0.000037
376.265789,0.000037
377.033060,0.000037
377.831882,0.000037
378.585979,0.000037
379.344047,0.000038
380.135968,0.000037
380.893648,0.000037
381.655570,0.000037
382.435831,0.000037
383.211254,0.000037
383.989072,0.000037
384.735000,0.000037
385.536038,0.000037
386.276162,0.000037
387.052238,0.000037
387.827999,0.000037
388.595601,0.000037
389.380133,0.000037
390.127231,0.000037
390.885993,0.000037
391.680464,0.000037
392.443685,0.000037
393.193009,0.000037
393.969076,0.000037
394.736998,0.000037
395.510377,0.000037
396.273526,0.000037
397.039683,0.000037
397.796430,0.000037
398.569433,0.000037
399.360106,0.000037
400.100623,0.000037
400.873139,0.000037
401.635377,0.000037
402.403457,0.000037
403.204897,0.000037
403.960041,0.000037
404.731134,0.000037
405.473187,0.000037
406.247004,0.000037
407.032106,0.000037
407.773675,0.000037
408.542748,0.000037
409.305047,0.000037
410.067472,0.000037
410.854831,0.000037
411.610793,0.000037
412.350830,0.000037
413.121942,0.000037
413.898608,0.000037
414.692507,0.000037
415.458167,0.000037
416.206331,0.000037
416.981188,0.000037
417.721588,0.000037
418.524140,0.000037
419.254328,0.000037
420.022257,0.000037
420.805708,0.000037
421.551518,0.000037
422.350645,0.000037
423.074531,0.000037
423.847085,0.000037
424.625109,0.000037
425.358850,0.000037
426.154503,0.000037
426.879274,0.000037
427.667720,0.000037
428.426391,0.000037
429.191091,0.000037
429.952313,0.000037
430.707075,0.000037
431.479823,0.000037
432.248556,0.000037
432.997124,0.000037
433.778501,0.000037
434.511385,0.000037
435.298357,0.000037
436.055013,0.000037
436.799973,0.000037
437.578891,0.000037
438.344549,0.000037
439.075170,0.000037
439.855442,0.000037
440.623507,0.000037
441.397081,0.000037
442.123376,0.000037
442.906304,0.000037
443.655265,0.000037
444.424663,0.000037
445.188889,0.000037
445.930360,0.000037
446.703833,0.000037
447.453336,0.000037
448.214995,0.000037
449.016097,0.000037
449.736655,0.000037
450.516744,0.000037
451.254656,0.000037
452.035504,0.000037
452.791953,0.000037
453.540539,0.000037
454.288819,0.000037
455.056534,0.000037
455.807235,0.000037
456.580711,0.000037
457.345258,0.000037
458.090081,0.000037
458.849356,0.000037
459.581891,0.000037
460.364836,0.000037
461.125231,0.000037
461.851383,0.000037
462.643300,0.000037
463.386265,0.000037
464.152517,0.000037
464.905157,0.000037
465.655428,0.000037
466.411105,0.000037
467.170411,0.000037
467.940262,0.000037
468.695508,0.000037
469.459885,0.000037
470.193752,0.000037
470.955352,0.000037
471.719590,0.000037
472.464365,0.000037
473.222233,0.000037
473.954239,0.000037
474.759154,0.000037
475.542587,0.000037
476.241317,0.000037
477.009420,0.000037
477.777182,0.000037
478.529232,0.000037
479.264980,0.000037
480.028427,0.000037
480.821174,0.000037
481.584215,0.000037
482.280429,0.000037
483.074348,0.000037
483.778751,0.000037
484.606765,0.000037
485.289329,0.000037
486.068177,0.000037
486.834527,0.000037
487.549939,0.000037
488.298714,0.000037
489.079384,0.000037
489.827782,0.000037
490.613907,0.000037
491.318087,0.000037
492.076731,0.000037
492.817040,0.000037
493.610029,0.000037
494.338992,0.000037
495.119102,0.000037
495.828022,0.000037
496.576471,0.000037
497.342878,0.000037
498.117610,0.000037
498.845977,0.000037
499.567942,0.000037
500.366531,0.000037
501.079708,0.000037
501.859643,0.000037
502.571234,0.000037
503.353429,0.000037
504.090483,0.000037
504.851190,0.000037
505.597734,0.000037
506.326857,0.000037
507.120800,0.000037
507.844940,0.000037
508.601236,0.000037
509.355085,0.000037
510.090372,0.000037
510.848458,0.000037
511.599571,0.000037
512.342805,0.000037
513.134941,0.000037
513.827254,0.000037
514.612401,0.000037
515.320234,0.000037
516.084788,0.000037
516.849093,0.000037
517.563187,0.000037
518.335402,0.000037
519.061897,0.000037
519.825752,0.000037
520.559213,0.000037
521.301718,0.000037
522.068797,0.000037
522.801537,0.000037
523.546912,0.000037
524.309047,0.000037
525.020228,0.000037
525.801387,0.000037
526.518210,0.000037
527.276308,0.000037
528.046488,0.000037
528.761852,0.000037
529.493559,0.000037
530.264032,0.000037
531.004218,0.000037
531.776770,0.000037
532.482595,0.000037
533.223981,0.000037
533.962390,0.000037
534.730825,0.000037
535.470052,0.000037
536.208640,0.000037
536.977967,0.000037
537.704216,0.000037
538.447382,0.000037
539.208416,0.000037
539.915478,0.000037
540.656760,0.000037
541.442832,0.000037
542.139367,0.000037
542.889033,0.000037
543.649787,0.000037
544.366758,0.000037
