Wavelength (nm),Intensity (uW)
355.599560,0.000149
356.040708,0.000148
356.724331,0.000148
357.536117,0.000148
358.413934,0.000149
359.052355,0.000149
359.829319,0.000147
360.642824,0.000148
361.418594,0.000148
362.256306,0.000146
362.906520,0.000147
363.695357,0.000147
364.499213,0.000147
365.277919,0.000147
366.136600,0.000146
366.775094,0.000146
367.552572,0.000146
368.357743,0.000146
369.132574,0.000147
369.998590,0.000147
370.635206,0.000146
371.444839,0.000146
372.209174,0.000146
372.984393,0.000147
373.832022,0.000146
374.481619,0.000146
375.295681,0.000146
376.071405,0.000146
376.811500,0.000146
377.710041,0.000146
378.332329,0.000146
379.141654,0.000146
379.911498,0.000145
380.673402,0.000146
381.529156,0.000146
382.179890,0.000145
382.992355,0.000145
383.765291,0.000146
384.535060,0.000145
385.414643,0.000145
386.032774,0.000145
386.841398,0.000145
387.613568,0.000145
388.362164,0.000145
389.261746,0.000145
389.866132,0.000145
390.650290,0.000145
391.459058,0.000145
392.224775,0.000145
393.088577,0.000145
393.711640,0.000145
394.485687,0.000145
395.296985,0.000145
396.044864,0.000145
396.925269,0.000145
397.550485,0.000146
398.336654,0.000146
399.134387,0.000145
399.894011,0.000145
400.781015,0.000146
401.387805,0.000145
402.148532,0.000144
402.956024,0.000144
403.733192,0.000145
404.584647,0.000144
405.222378,0.000143
406.034039,0.000144
406.798596,0.000144
407.554711,0.000144
408.416238,0.000145
409.050835,0.000145
409.845174,0.000144
410.634107,0.000144
411.396543,0.000144
412.285378,0.000144
412.876797,0.000144
413.648417,0.000145
414.440437,0.000144
415.226975,0.000144
416.079249,0.000144
416.710214,0.000145
417.479215,0.000145
418.269162,0.000145
419.016936,0.000145
419.913319,0.000145
420.522448,0.000144
421.311145,0.000144
422.112248,0.000144
422.856108,0.000144
423.746303,0.000144
424.332143,0.000144
425.134798,0.000145
425.918161,0.000145
426.679543,0.000144
427.554830,0.000143
428.150097,0.000144
428.956378,0.000144
429.715260,0.000144
430.486360,0.000144
431.346367,0.000144
431.964295,0.000144
432.773011,0.000144
433.539016,0.000144
434.289254,0.000145
435.185300,0.000145
435.776099,0.000145
436.583941,0.000145
437.343669,0.000146
438.103397,0.000146
438.948225,0.000145
439.589405,0.000146
440.349772,0.000145
441.154916,0.000145
441.909987,0.000146
442.752536,0.000145
443.387090,0.000145
444.188987,0.000146
444.955669,0.000146
445.709277,0.000146
446.555371,0.000146
447.190555,0.000146
447.990618,0.000146
448.752952,0.000146
449.508189,0.000146
450.386285,0.000146
450.987055,0.000146
451.762043,0.000145
452.548975,0.000146
453.302682,0.000146
454.174987,0.000146
454.782587,0.000147
455.549492,0.000147
456.350509,0.000147
457.062422,0.000146
457.935171,0.000146
458.577196,0.000147
459.371705,0.000148
460.134518,0.000148
460.888328,0.000148
461.732845,0.000148
462.370085,0.000148
463.156981,0.000149
463.917284,0.000150
464.688811,0.000150
465.458936,0.000149
466.148380,0.000149
466.920971,0.000149
467.700234,0.000149
468.454932,0.000149
469.263915,0.000148
469.925922,0.000148
470.688238,0.000148
471.487288,0.000148
472.247850,0.000148
473.109145,0.000148
473.707928,0.000148
474.476231,0.000148
475.256992,0.000148
476.024226,0.000149
476.858704,0.000149
477.486604,0.000149
478.257664,0.000149
479.042044,0.000149
479.782507,0.000149
480.676160,0.000149
481.254350,0.000150
482.040045,0.000151
482.789816,0.000151
483.548055,0.000151
484.411163,0.000153
485.017815,0.000153
485.819647,0.000152
486.571736,0.000153
487.319668,0.000153
488.159646,0.000154
488.783010,0.000155
489.578227,0.000155
490.315909,0.000155
491.082809,0.000155
491.955406,0.000154
492.546100,0.000154
493.338456,0.000154
494.092008,0.000153
494.830099,0.000152
495.658735,0.000151
