Wavelength (nm),Transmission
355.599560,3.963267
356.040708,3.945114
356.724331,3.947107
357.536117,3.947463
358.413934,3.964383
359.052355,3.985355
359.829319,3.954042
360.642824,3.961121
361.418594,3.933437
362.256306,3.890425
362.906520,3.938123
363.695357,3.976538
364.499213,3.972604
365.277919,3.952862
366.136600,3.922064
366.775094,3.900600
367.552572,3.914439
368.357743,3.919655
369.132574,3.935504
369.998590,3.949491
370.635206,3.937382
371.444839,3.951800
372.209174,3.963923
372.984393,3.981844
373.832022,3.964327
374.481619,3.935363
375.295681,3.948610
376.071405,3.965143
376.811500,3.945307
377.710041,3.923235
378.332329,3.927739
379.141654,3.915508
379.911498,3.876339
380.673402,3.901860
381.529156,3.927341
382.179890,3.915275
382.992355,3.923485
383.765291,3.929373
384.535060,3.916045
385.414643,3.897545
386.032774,3.897958
386.841398,3.897460
387.613568,3.909351
388.362164,3.912766
389.261746,3.911174
389.866132,3.937137
390.650290,3.931490
391.459058,3.904405
392.224775,3.906369
393.088577,3.905872
393.711640,3.918919
394.485687,3.938850
395.296985,3.935265
396.044864,3.912705
396.925269,3.902349
397.550485,3.938855
398.336654,3.950989
399.134387,3.915726
399.894011,3.926353
400.781015,3.950717
401.387805,3.906204
402.148532,3.889297
402.956024,3.909987
403.733192,3.921726
404.584647,3.902286
405.222378,3.888434
406.034039,3.894072
406.798596,3.892034
407.554711,3.904699
408.416238,3.922294
409.050835,3.915420
409.845174,3.911813
410.634107,3.896444
411.396543,3.890764
412.285378,3.894852
412.876797,3.896816
413.648417,3.906898
414.440437,3.890173
415.226975,3.858449
416.079249,3.853588
416.710214,3.885540
417.479215,3.906210
418.269162,3.911179
419.016936,3.914971
419.913319,3.918813
420.522448,3.906237
421.311145,3.888377
422.112248,3.886376
422.856108,3.880675
423.746303,3.889338
424.332143,3.888332
425.134798,3.896869
425.918161,3.904646
426.679543,3.879643
427.554830,3.853305
428.150097,3.880019
428.956378,3.894625
429.715260,3.878820
430.486360,3.890446
431.346367,3.887492
431.964295,3.871896
432.773011,3.871650
433.539016,3.884340
434.289254,3.920567
435.185300,3.922599
435.776099,3.888639
436.583941,3.890513
437.343669,3.909758
438.103397,3.921827
438.948225,3.931155
439.589405,3.920715
440.349772,3.892721
441.154916,3.902790
441.909987,3.916200
442.752536,3.907872
443.387090,3.908638
444.188987,3.921414
444.955669,3.940455
445.709277,3.935238
446.555371,3.923974
447.190555,3.917896
447.990618,3.920571
448.752952,3.915911
449.508189,3.920205
450.386285,3.936277
450.987055,3.930362
451.762043,3.925978
452.548975,3.943632
453.302682,3.954934
454.174987,3.960951
454.782587,3.969519
455.549492,3.976612
456.350509,3.983068
457.062422,3.948662
457.935171,3.930453
458.577196,3.955430
459.371705,3.986924
460.134518,4.004325
460.888328,4.008398
461.732845,4.023060
462.370085,4.018040
463.156981,4.026252
463.917284,4.059280
464.688811,4.059845
465.458936,4.029186
466.148380,4.008552
466.920971,4.027674
467.700234,4.046631
468.454932,4.028889
469.263915,4.009427
469.925922,4.009134
470.688238,4.026581
471.487288,4.014866
472.247850,4.004331
473.109145,4.006616
473.707928,4.000045
474.476231,3.989618
475.256992,3.981883
476.024226,4.004252
476.858704,4.028521
477.486604,4.052417
478.257664,4.057939
479.042044,4.046701
479.782507,4.031753
480.676160,4.040779
481.254350,4.065642
482.040045,4.091201
482.789816,4.095573
483.548055,4.092787
484.411163,4.120191
485.017815,4.140322
485.819647,4.140304
486.571736,4.151541
487.319668,4.149071
488.159646,4.160613
488.783010,4.184497
489.578227,4.190978
490.315909,4.195639
491.082809,4.190951
491.955406,4.172591
492.546100,4.174214
493.338456,4.160142
494.092008,4.130707
494.830099,4.114846
495.658735,4.109924
496.308585,4.098533
497.074331,4.081377
497.855776,4.098304
498.606176,4.094140
499.434839,4.077436
500.063990,4.098102
500.831201,4.124647
501.601852,4.117464
502.351483,4.096008
503.199174,4.102652
503.812924,4.105643
504.603361,4.090465
505.357575,4.098240
506.099368,4.124469
506.959759,4.115143
507.558517,4.095963
508.345680,4.089490
509.086137,4.093438
509.853038,4.097528
510.724837,4.105998
511.317969,4.109002
512.095553,4.096188
512.846564,4.091756
513.597305,4.071869
514.439868,4.067060
515.046894,4.063734
515.830908,4.076652
516.579249,4.116862
517.336231,4.138230
518.160350,4.114290
518.787606,4.078999
519.576385,4.046962
520.327487,4.036040
521.071880,4.079208
521.908624,4.086434
522.513047,4.048786
523.295271,4.023128
524.064954,4.008093
524.800904,4.002770
525.649100,4.007310
526.250545,4.019719
527.039984,3.994414
527.752980,3.952640
528.515534,3.947467
529.379089,3.946149
529.986169,3.940810
530.764679,3.938960
531.509321,3.932356
532.245014,3.961752
533.107668,3.981435
533.691430,3.997172
534.464759,4.050752
535.221947,4.081922
535.965988,4.112635
536.822552,4.128107
537.413288,4.092614
538.195409,4.064903
538.947041,4.026123
539.681908,4.013883
540.537214,4.053290
541.128096,4.085899
541.893013,4.109023
542.662984,4.155947
543.395585,4.178007
544.274292,4.161158
544.841724,4.153165
545.611876,4.115665
546.410640,4.056798
547.108341,4.044781
547.953935,4.041165
548.551948,4.072441
549.331745,4.128752
550.077211,4.133976
550.829928,4.133994
551.633317,4.186602
552.254472,4.263025
553.012504,4.300005
553.788906,4.304515
554.518170,4.306367
555.371920,4.284023
555.948459,4.283094
556.724830,4.274193
557.473486,4.222999
558.216629,4.186819
559.057487,4.134258
559.654172,4.106532
560.413362,4.089479
561.172690,4.046604
561.910115,4.012324
562.751306,4.000692
563.348531,4.010731
564.092958,3.999497
564.831547,3.991741
565.608323,3.959417
566.438210,3.962363
567.034729,4.013653
567.813607,4.035369
568.524962,4.034230
569.286695,4.049975
570.147448,4.081263
570.714051,4.074579
571.494157,4.085672
572.245160,4.111456
572.970080,4.128362
573.784204,4.153228
