Wavelength (nm),Intensity (uW)
350.180557,0.000048
350.553885,0.000048
351.291240,0.000049
352.063920,0.000049
352.871102,0.000050
353.622357,0.000050
354.390168,0.000051
355.161555,0.000051
355.948056,0.000051
356.693161,0.000052
357.525645,0.000052
358.248846,0.000052
359.016565,0.000052
359.794938,0.000052
360.577791,0.000053
361.344184,0.000053
362.108593,0.000053
362.877629,0.000053
363.660810,0.000053
364.426959,0.000053
365.229922,0.000053
365.970198,0.000054
366.775650,0.000054
367.502485,0.000054
368.304598,0.000055
369.062076,0.000055
369.835322,0.000055
370.598170,0.000055
371.367923,0.000056
372.152306,0.000056
372.921253,0.000056
373.682096,0.000056
374.445079,0.000056
375.231357,0.000056
376.010313,0.000056
376.766963,0.000056
377.536940,0.000056
378.314316,0.000056
379.106307,0.000056
379.850447,0.000056
380.647133,0.000056
381.376933,0.000055
382.169312,0.000055
382.916634,0.000055
383.703548,0.000056
384.465629,0.000056
385.231507,0.000056
385.991154,0.000056
386.787002,0.000056
387.533626,0.000056
388.313485,0.000056
389.074137,0.000056
389.849674,0.000056
390.626497,0.000056
391.376044,0.000056
392.182254,0.000056
392.918267,0.000056
393.694271,0.000056
394.463687,0.000056
395.213131,0.000056
395.992370,0.000056
396.764540,0.000056
397.522887,0.000056
398.288938,0.000056
399.050880,0.000056
399.835462,0.000056
400.599595,0.000056
401.365267,0.000056
402.131103,0.000056
402.897650,0.000056
403.667701,0.000056
404.423921,0.000056
405.193331,0.000056
405.961164,0.000056
406.724631,0.000056
407.495112,0.000056
408.259763,0.000056
409.022368,0.000056
409.786000,0.000056
410.565921,0.000056
411.315421,0.000056
412.085615,0.000056
412.843160,0.000056
413.639542,0.000056
414.388810,0.000056
415.153557,0.000056
415.918195,0.000056
416.677858,0.000056
417.452479,0.000056
418.216264,0.000056
418.968316,0.000056
419.752859,0.000055
420.486091,0.000055
421.263961,0.000055
422.034934,0.000055
422.824289,0.000055
423.551642,0.000055
424.338420,0.000055
425.094478,0.000055
425.836309,0.000055
426.619953,0.000055
427.366726,0.000055
428.137139,0.000055
428.908671,0.000055
429.674706,0.000055
430.432701,0.000055
431.175667,0.000055
431.945337,0.000055
432.710529,0.000055
433.486148,0.000055
434.243441,0.000055
434.989154,0.000055
435.755461,0.000055
436.511402,0.000054
437.300434,0.000054
438.031747,0.000054
438.804061,0.000054
439.564284,0.000054
440.360280,0.000054
441.084238,0.000054
441.849343,0.000054
442.609860,0.000054
443.377908,0.000054
444.139334,0.000054
444.903174,0.000054
