Wavelength (nm),Intensity (uW)
352.125452,0.000202
352.754226,0.000202
353.503754,0.000202
354.277347,0.000202
355.071142,0.000202
355.839337,0.000201
356.567278,0.000201
357.358263,0.000202
358.166730,0.000201
358.933686,0.000200
360.286178,0.000200
360.420552,0.000201
361.226630,0.000201
361.992310,0.000200
362.792710,0.000202
363.568273,0.000202
364.292474,0.000202
365.109965,0.000202
365.904038,0.000200
366.622956,0.000200
367.517902,0.000200
368.148027,0.000201
368.937242,0.000201
369.739705,0.000200
370.513239,0.000201
371.289136,0.000201
372.000923,0.000200
372.797674,0.000200
373.607485,0.000201
374.328378,0.000202
375.133712,0.000200
375.857078,0.000201
376.652444,0.000201
377.441861,0.000200
378.219687,0.000200
378.990992,0.000201
379.719597,0.000202
380.521033,0.000201
381.297297,0.000200
382.148188,0.000201
382.790975,0.000201
383.579433,0.000201
384.373361,0.000201
385.148307,0.000201
385.977467,0.000201
386.632166,0.000200
387.421044,0.000201
388.214061,0.000201
388.984915,0.000200
389.833443,0.000199
390.479680,0.000200
391.296472,0.000201
392.049041,0.000201
392.824292,0.000200
393.662828,0.000200
394.319402,0.000200
395.136625,0.000200
395.909826,0.000200
396.659388,0.000200
397.532079,0.000200
398.155453,0.000200
398.950906,0.000201
399.741522,0.000202
400.497719,0.000201
401.360549,0.000201
401.992632,0.000200
402.778947,0.000200
403.574845,0.000200
404.340079,0.000200
405.153863,0.000200
405.826400,0.000200
406.630617,0.000200
407.407913,0.000201
408.167556,0.000201
408.992437,0.000200
409.656844,0.000201
410.456775,0.000201
411.225046,0.000200
411.987349,0.000199
412.839607,0.000199
413.481907,0.000200
414.259301,0.000200
415.066310,0.000201
415.817175,0.000202
416.658494,0.000201
417.303805,0.000200
418.111333,0.000201
418.883235,0.000200
419.642482,0.000199
420.472632,0.000200
421.126962,0.000201
421.940007,0.000200
422.699419,0.000200
423.461989,0.000200
424.361039,0.000200
424.954535,0.000200
425.719210,0.000199
426.514221,0.000200
427.275117,0.000199
428.119147,0.000200
428.764252,0.000200
429.532073,0.000200
430.321716,0.000200
431.096693,0.000200
431.926922,0.000200
432.570135,0.000201
433.356716,0.000202
434.154840,0.000201
434.894077,0.000200
435.746063,0.000199
