Wavelength (nm),Intensity (uW)
352.125196,0.000083
352.637497,0.000083
353.386446,0.000083
354.148154,0.000083
354.927033,0.000083
355.723226,0.000083
356.482709,0.000083
357.268056,0.000082
358.021012,0.000083
358.791002,0.000082
359.627634,0.000082
360.335619,0.000082
361.127881,0.000082
361.884483,0.000082
362.667089,0.000082
363.462532,0.000082
364.199585,0.000082
364.987535,0.000082
365.747173,0.000082
366.529822,0.000081
367.315257,0.000081
368.062485,0.000081
368.827477,0.000081
369.607808,0.000081
370.391920,0.000081
371.156011,0.000081
371.926413,0.000081
372.688846,0.000081
373.457545,0.000081
374.220418,0.000082
375.020951,0.000082
375.777461,0.000082
376.534408,0.000083
377.313300,0.000083
378.093455,0.000084
378.885063,0.000084
379.630688,0.000084
380.390221,0.000084
381.168721,0.000085
381.921401,0.000085
382.709253,0.000085
383.467760,0.000086
384.249835,0.000086
385.016937,0.000086
385.783974,0.000086
386.561888,0.000086
387.321733,0.000086
388.075178,0.000086
388.856877,0.000086
389.618702,0.000086
390.391188,0.000086
391.167769,0.000086
391.921422,0.000086
392.689621,0.000086
393.462879,0.000087
394.241749,0.000087
394.995915,0.000087
395.768213,0.000087
396.533368,0.000087
397.294743,0.000087
398.071102,0.000087
398.829014,0.000087
399.592678,0.000087
400.363650,0.000087
401.143214,0.000087
401.903716,0.000086
402.674666,0.000086
403.442595,0.000086
404.197810,0.000086
404.965823,0.000086
405.737093,0.000086
406.497072,0.000086
407.274163,0.000086
408.031863,0.000086
408.804905,0.000086
409.588273,0.000086
410.321328,0.000086
411.097708,0.000086
411.857560,0.000086
412.631281,0.000086
413.400284,0.000086
414.153038,0.000086
414.958911,0.000086
415.686670,0.000086
416.480169,0.000086
417.228059,0.000086
417.990982,0.000086
418.746811,0.000086
419.514653,0.000086
420.311391,0.000086
421.036398,0.000086
421.810799,0.000086
422.575191,0.000086
423.330967,0.000086
424.116807,0.000086
424.873702,0.000086
425.619335,0.000086
426.383621,0.000086
427.161061,0.000086
427.907350,0.000086
428.688506,0.000086
429.439261,0.000086
430.193661,0.000086
430.963598,0.000086
431.723185,0.000086
432.497765,0.000086
433.253647,0.000086
434.014643,0.000086
434.775549,0.000086
435.541769,0.000086
436.306568,0.000086
437.056785,0.000086
437.812907,0.000086
438.573926,0.000086
439.346883,0.000085
440.094009,0.000085
440.866822,0.000085
441.609918,0.000085
442.377313,0.000085
443.161984,0.000084
443.889648,0.000084
444.681951,0.000084
445.423177,0.000084
446.172952,0.000084
446.961863,0.000084
447.697602,0.000084
448.465093,0.000084
449.209533,0.000084
450.000927,0.000084
450.755150,0.000084
451.499319,0.000084
452.258686,0.000084
453.022327,0.000084
453.777555,0.000084
454.561955,0.000084
455.291448,0.000084
456.054341,0.000084
456.809511,0.000084
457.564728,0.000084
458.344047,0.000084
459.082710,0.000084
459.843190,0.000084
460.596106,0.000084
461.348805,0.000084
462.116057,0.000084
462.889841,0.000084
463.617159,0.000084
464.401661,0.000084
465.142863,0.000084
465.904910,0.000084
466.660047,0.000084
467.410214,0.000084
468.155070,0.000083
468.928133,0.000083
469.689854,0.000083
470.439027,0.000083
471.198958,0.000083
471.948547,0.000083
472.711288,0.000083
473.469926,0.000083
474.216700,0.000083
474.969480,0.000083
475.726256,0.000083
476.495153,0.000083
477.244625,0.000083
478.022503,0.000084
478.744294,0.000084
479.515547,0.000084
480.257628,0.000084
481.038872,0.000084
481.747964,0.000084
482.530959,0.000084
483.260831,0.000084
484.034558,0.000084
484.806717,0.000084
485.537946,0.000084
486.301980,0.000084
487.026017,0.000084
487.794543,0.000084
488.581336,0.000084
489.297579,0.000084
490.062596,0.000084
490.802597,0.000084
491.546097,0.000084
492.376482,0.000084
493.050800,0.000084
493.816687,0.000084
494.565967,0.000084
495.314092,0.000084
496.078552,0.000084
496.809089,0.000084
497.585135,0.000084
498.331066,0.000084
499.061650,0.000084
499.840880,0.000084
500.552754,0.000084
501.318283,0.000084
502.078736,0.000084
502.830870,0.000084
503.630370,0.000084
504.314692,0.000084
505.080127,0.000084
505.812676,0.000084
506.573714,0.000084
507.336320,0.000084
508.072957,0.000084
508.817425,0.000084
509.557909,0.000084
510.347664,0.000084
511.063633,0.000084
511.809584,0.000084
512.577015,0.000084
513.307813,0.000084
514.074920,0.000084
514.819221,0.000084
515.566058,0.000084
516.298149,0.000084
517.049301,0.000084
517.806940,0.000084
518.563730,0.000084
519.295787,0.000085
520.047533,0.000085
520.785954,0.000085
521.526527,0.000085
522.280655,0.000085
523.033550,0.000085
523.774888,0.000085
524.511898,0.000085
525.272821,0.000085
526.003292,0.000085
526.756326,0.000085
527.514478,0.000085
528.241480,0.000085
528.983984,0.000085
529.756416,0.000086
530.475756,0.000086
531.227456,0.000086
531.969116,0.000086
532.715881,0.000086
533.475662,0.000086
534.213329,0.000086
534.945152,0.000086
535.712496,0.000086
536.448436,0.000086
537.204331,0.000086
537.909936,0.000086
538.667900,0.000086
539.416067,0.000086
540.163314,0.000086
540.933473,0.000087
541.636967,0.000086
542.385496,0.000086
543.126811,0.000086
543.854025,0.000086
544.636606,0.000086
545.336667,0.000086
546.103837,0.000086
546.827071,0.000085
547.565238,0.000085
548.315130,0.000086
549.086419,0.000086
549.787363,0.000086
550.542898,0.000086
551.280329,0.000086
552.042088,0.000086
552.765731,0.000086
553.512076,0.000085
554.252139,0.000086
554.984309,0.000086
555.717255,0.000086
556.451631,0.000086
557.191834,0.000086
557.960554,0.000086
558.689859,0.000086
559.417205,0.000086
560.145638,0.000086
560.901949,0.000086
561.624316,0.000086
562.373206,0.000086
563.119246,0.000086
563.846593,0.000086
564.579202,0.000085
565.319796,0.000085
566.058803,0.000085
566.800693,0.000086
567.534940,0.000086
568.292083,0.000086
569.006955,0.000086
569.759515,0.000086
570.529127,0.000086
571.213037,0.000086
571.983327,0.000085
572.689737,0.000085
573.419738,0.000085
574.169648,0.000085
574.906740,0.000085
575.640096,0.000084
576.365833,0.000085
577.113173,0.000085
577.844755,0.000086
578.582412,0.000087
579.317033,0.000088
580.039962,0.000088
580.776414,0.000088
581.521986,0.000088
582.240295,0.000088
582.981931,0.000088
583.711580,0.000088
584.456533,0.000088
585.186747,0.000088
585.904295,0.000088
586.655307,0.000088
587.376439,0.000088
588.107155,0.000088
588.883689,0.000088
589.576021,0.000088
590.309051,0.000088
591.040344,0.000087
591.777067,0.000087
592.547689,0.000087
593.238910,0.000087
593.959633,0.000088
594.701962,0.000087
595.442706,0.000086
596.179078,0.000085
596.904845,0.000085
597.625865,0.000084
598.349046,0.000084
599.104276,0.000084
599.827437,0.000085
600.553235,0.000085
601.277895,0.000085
602.025641,0.000084
602.762188,0.000083
603.476416,0.000083
604.208642,0.000083
604.951983,0.000084
605.672583,0.000084
606.386990,0.000084
607.146039,0.000084
607.856282,0.000084
608.584220,0.000084
609.322347,0.000084
610.042158,0.000084
610.756796,0.000085
