Wavelength (nm),Intensity (uW)
351.945912,0.000156
352.409760,0.000156
353.112775,0.000157
353.932561,0.000157
354.707558,0.000157
355.521931,0.000157
356.209783,0.000157
357.006676,0.000157
357.808571,0.000157
358.584394,0.000157
359.391740,0.000157
360.067638,0.000157
360.892959,0.000158
361.679401,0.000158
362.435682,0.000158
363.299542,0.000158
363.935751,0.000158
364.711317,0.000158
365.522473,0.000158
366.296503,0.000158
367.153839,0.000158
367.791530,0.000158
368.573458,0.000159
369.354389,0.000159
370.155156,0.000159
371.020253,0.000159
371.659609,0.000159
372.442145,0.000159
373.239165,0.000159
374.005175,0.000159
374.836504,0.000159
375.500419,0.000160
376.318638,0.000160
377.085594,0.000160
377.857030,0.000160
378.646879,0.000160
379.366452,0.000160
380.123163,0.000160
380.930441,0.000160
381.714156,0.000160
382.569321,0.000160
383.195191,0.000160
383.987662,0.000160
384.757053,0.000160
385.549823,0.000161
386.390467,0.000161
387.042338,0.000161
387.837741,0.000161
388.632393,0.000162
389.385205,0.000162
390.244403,0.000162
390.881216,0.000162
391.709716,0.000163
392.464778,0.000163
393.244970,0.000164
394.078179,0.000164
394.726671,0.000165
395.536899,0.000166
396.308465,0.000167
397.079954,0.000168
397.924436,0.000170
398.560741,0.000171
399.361886,0.000173
400.093605,0.000175
400.889899,0.000178
401.754318,0.000181
402.390971,0.000185
403.185014,0.000190
403.991266,0.000196
404.707280,0.000203
405.608775,0.000222
406.985038,0.000234
407.781880,0.000248
408.577778,0.000265
409.365200,0.000308
410.834580,0.000336
411.645610,0.000369
412.361010,0.000407
413.152410,0.000502
414.659626,0.000561
415.428321,0.000631
416.179075,0.000711
417.033256,0.000914
418.484179,0.001036
419.279022,0.001173
419.996500,0.001328
420.839046,0.001504
421.525943,0.001703
422.310240,0.001928
423.061755,0.002173
423.868032,0.002449
424.655187,0.003110
426.145802,0.003484
426.856439,0.003889
427.639303,0.004328
428.522231,0.005320
429.937452,0.005876
430.729977,0.006490
431.444712,0.007160
432.245944,0.008619
433.751338,0.009412
434.527901,0.010260
435.303372,0.011167
436.011233,0.012128
436.775358,0.013146
437.543706,0.014246
438.336247,0.015426
439.071928,0.016675
440.389005,0.017978
440.572332,0.019344
441.364015,0.020794
442.137810,0.022340
442.902800,0.023967
443.637193,0.025681
444.395020,0.027465
445.134179,0.029251
445.969967,0.032584
447.487278,0.035246
448.943861,0.036201
449.716823,0.036832
450.545007,0.037122
451.225915,0.037044
452.016622,0.036582
452.777161,0.035750
453.526744,0.034583
454.392555,0.033141
455.005376,0.031484
455.812773,0.029665
456.568320,0.027815
457.324018,0.025966
458.152277,0.024141
458.799022,0.022419
459.600004,0.020836
460.361562,0.019418
461.107908,0.018152
461.929421,0.017014
462.590860,0.015987
463.363955,0.015070
464.145084,0.014217
464.895615,0.013408
465.762227,0.012655
466.371917,0.011952
467.152064,0.011298
467.925251,0.010683
468.673967,0.010103
469.522097,0.009542
470.160427,0.009004
470.951690,0.008480
471.708910,0.007972
472.453067,0.007490
473.274439,0.007042
473.933024,0.006629
474.683816,0.006251
475.444319,0.005909
476.198608,0.005600
476.992302,0.005324
477.704185,0.005078
478.463961,0.004862
479.216812,0.004674
479.969416,0.004508
480.869506,0.004362
481.470693,0.004231
482.226783,0.004115
482.987847,0.004009
483.757656,0.003915
484.538245,0.003831
485.242959,0.003757
485.986930,0.003697
486.757299,0.003648
487.510647,0.003613
488.378953,0.003591
489.011986,0.003582
489.797824,0.003587
490.559669,0.003607
491.308131,0.003645
492.134987,0.003700
492.783802,0.003772
493.560853,0.003863
494.313681,0.003971
495.068118,0.004096
495.924993,0.004238
496.530374,0.004396
497.317264,0.004572
498.077324,0.004765
498.814940,0.004969
499.665555,0.005184
500.289345,0.005412
501.077152,0.005655
501.833271,0.005913
502.571583,0.006184
503.420175,0.006462
504.033264,0.006755
504.803407,0.007069
505.576694,0.007387
506.325397,0.007707
507.145870,0.008028
507.784870,0.008353
508.568011,0.008682
509.325163,0.009016
510.066939,0.009348
510.872339,0.009694
511.529592,0.010052
512.314078,0.010409
513.066991,0.010764
513.792099,0.011116
514.633764,0.011467
515.273996,0.011818
516.036989,0.012167
516.769518,0.012506
517.516190,0.012845
518.303685,0.013186
519.007943,0.013516
519.758485,0.013831
520.513042,0.014140
521.269280,0.014445
522.110446,0.014745
522.739132,0.015040
523.502456,0.015324
524.268478,0.015603
525.015118,0.015879
525.855831,0.016146
526.473331,0.016398
527.231116,0.016643
527.995249,0.016883
528.748316,0.017115
529.570194,0.017340
530.196836,0.017558
530.974668,0.017772
531.725061,0.017980
532.468961,0.018181
533.289954,0.018371
533.919861,0.018553
534.697485,0.018726
535.451761,0.018894
536.186434,0.019057
537.005198,0.019213
537.636504,0.019365
538.416780,0.019510
539.164028,0.019650
539.870274,0.019783
540.691918,0.019910
541.358876,0.020033
542.114986,0.020152
542.872986,0.020265
543.600646,0.020374
544.428189,0.020480
545.066663,0.020578
545.840313,0.020671
546.584128,0.020759
547.323443,0.020840
548.117536,0.020919
548.774720,0.020995
549.541957,0.021068
550.286619,0.021137
551.033987,0.021204
551.859472,0.021267
552.476902,0.021326
553.234527,0.021382
553.991958,0.021432
554.740695,0.021480
555.558313,0.021525
556.172800,0.021567
556.936630,0.021606
557.685299,0.021644
558.433987,0.021679
559.238134,0.021710
559.876922,0.021738
560.644928,0.021764
561.390323,0.021786
562.120066,0.021806
562.945293,0.021823
563.564544,0.021837
564.319844,0.021849
565.082243,0.021858
565.810292,0.021863
566.631019,0.021866
567.251147,0.021867
568.024552,0.021865
568.759599,0.021860
569.492927,0.021852
570.321800,0.021841
570.935916,0.021827
571.704346,0.021810
572.440292,0.021790
573.177500,0.021768
573.952389,0.021744
574.621560,0.021716
575.392903,0.021687
576.130795,0.021654
576.857287,0.021618
577.661388,0.021578
578.290306,0.021536
579.038619,0.021492
579.792694,0.021445
580.536027,0.021394
581.327592,0.021341
581.967338,0.021287
582.709155,0.021230
583.470476,0.021170
584.208432,0.021107
585.004944,0.021042
585.637334,0.020975
586.398086,0.020905
587.129844,0.020832
587.875262,0.020757
588.712037,0.020680
589.301068,0.020600
590.051066,0.020515
590.798313,0.020426
591.534579,0.020337
592.371899,0.020249
592.964617,0.020158
593.701898,0.020064
594.456543,0.019968
595.192302,0.019872
596.025516,0.019773
596.609891,0.019669
597.359993,0.019562
598.116696,0.019454
598.836224,0.019345
599.676667,0.019235
600.265816,0.019124
601.039800,0.019009
601.777097,0.018895
602.491196,0.018777
603.310966,0.018654
603.913202,0.018532
604.680440,0.018408
605.412109,0.018284
606.137398,0.018159
606.978018,0.018030
607.555991,0.017898
608.327705,0.017766
609.044119,0.017631
609.779737,0.017493
610.578780,0.017354
611.204951,0.017218
611.959547,0.017083
612.695911,0.016948
613.412582,0.016811
614.233881,0.016671
614.839442,0.016530
615.579865,0.016386
616.331025,0.016241
617.047990,0.016094
617.859164,0.015948
618.474111,0.015803
619.226266,0.015660
619.953660,0.015517
620.673928,0.015370
621.482308,0.015223
622.096862,0.015073
622.847774,0.014921
623.581682,0.014771
624.297159,0.014621
625.108717,0.014472
625.717827,0.014324
626.459504,0.014176
627.206919,0.014028
627.924473,0.013878
628.715070,0.013726
629.337261,0.013575
630.094814,0.013426
630.808394,0.013278
631.541190,0.013133
632.318605,0.012988
632.953231,0.012843
633.707001,0.012696
634.400673,0.012546
635.136053,0.012393
635.941929,0.012243
636.563274,0.012096
637.317885,0.011949
638.017488,0.011804
638.737875,0.011663
639.522578,0.011522
640.167997,0.011382
640.888747,0.011239
641.605882,0.011095
642.322493,0.010954
643.160517,0.010816
643.762005,0.010679
644.494751,0.010543
645.236383,0.010406
645.963653,0.010270
646.756641,0.010138
647.358434,0.010005
648.119286,0.009869
648.837700,0.009736
649.555870,0.009606
650.335230,0.009476
650.960803,0.009349
651.681337,0.009223
652.431832,0.009098
653.140765,0.008975
653.960688,0.008850
654.544102,0.008724
655.274350,0.008601
656.016448,0.008482
656.702802,0.008365
657.517625,0.008250
658.126441,0.008134
658.875003,0.008018
659.595416,0.007903
660.312464,0.007788
661.081540,0.007672
661.703235,0.007560
662.450341,0.007450
663.132877,0.007343
663.866509,0.007236
664.666072,0.007130
665.284006,0.007025
666.021292,0.006923
666.739116,0.006823
667.441972,0.006721
668.244003,0.006620
668.846998,0.006522
669.589313,0.006426
670.306585,0.006329
671.019985,0.006235
671.805190,0.006142
672.414654,0.006049
673.153323,0.005956
673.876527,0.005864
674.584907,0.005774
675.362829,0.005686
675.965936,0.005601
676.719686,0.005517
677.423887,0.005432
678.123774,0.005348
678.943128,0.005265
679.531800,0.005182
680.268480,0.005101
680.979769,0.005020
681.694311,0.004941
682.463342,0.004863
683.074122,0.004788
683.820684,0.004713
684.531670,0.004639
685.237012,0.004566
686.051508,0.004492
686.629145,0.004420
687.369308,0.004348
688.073413,0.004279
688.787941,0.004212
689.583640,0.004146
690.168173,0.004080
690.908344,0.004017
691.624103,0.003953
692.309588,0.003888
693.100828,0.003824
693.700363,0.003761
694.419208,0.003700
695.153045,0.003640
695.859278,0.003583
696.645217,0.003526
697.235313,0.003470
697.963028,0.003414
698.681014,0.003358
699.377719,0.003304
700.167566,0.003252
700.761915,0.003200
701.476134,0.003150
702.199076,0.003101
702.896133,0.003052
703.693740,0.003004
704.282763,0.002956
705.002171,0.002908
705.723204,0.002862
706.420015,0.002818
707.218433,0.002773
707.798749,0.002730
708.532268,0.002687
709.247031,0.002644
709.943191,0.002602
710.745100,0.002560
711.310173,0.002518
712.026655,0.002478
712.747417,0.002438
713.459814,0.002398
714.229042,0.002359
714.819175,0.002321
715.533264,0.002284
716.255179,0.002247
716.953465,0.002211
717.685169,0.002175
718.338164,0.002140
719.059367,0.002106
719.746450,0.002073
720.465973,0.002040
721.248847,0.002008
721.822651,0.001977
722.555753,0.001946
723.259978,0.001915
723.949271,0.001884
724.710588,0.001854
725.316286,0.001826
726.040329,0.001798
726.743045,0.001770
727.438775,0.001743
728.228239,0.001716
728.796999,0.001690
729.516998,0.001663
730.221589,0.001636
730.923187,0.001611
731.690939,0.001586
732.281949,0.001561
733.008364,0.001537
733.702446,0.001513
734.402854,0.001491
735.144332,0.001468
735.755185,0.001445
736.487803,0.001423
737.180785,0.001401
737.870586,0.001379
738.676077,0.001358
739.228047,0.001338
739.957998,0.001317
740.663120,0.001298
741.331266,0.001278
742.099524,0.001258
742.698286,0.001239
743.423490,0.001221
744.122723,0.001203
744.800525,0.001186
745.508372,0.001168
746.190697,0.001151
746.853257,0.001134
747.555467,0.001117
748.267281,0.001101
748.961558,0.001084
749.968819,0.001069
750.308562,0.001054
751.037760,0.001040
751.720151,0.001025
752.412278,0.001011
753.559392,0.000998
753.754190,0.000985
754.457529,0.000971
755.177003,0.000959
755.856682,0.000947
756.524893,0.000936
757.203674,0.000925
757.924395,0.000914
758.617605,0.000903
759.298836,0.000890
760.073060,0.000877
760.645957,0.000863
761.363199,0.000850
762.048133,0.000836
762.730457,0.000823
763.505566,0.000811
764.072736,0.000799
764.793607,0.000786
765.490335,0.000774
766.160519,0.000762
766.944108,0.000751
767.511772,0.000739
768.226010,0.000728
769.593595,0.000707
770.376451,0.000697
770.930783,0.000687
771.612054,0.000677
772.980573,0.000658
773.804174,0.000648
774.351031,0.000639
775.041894,0.000630
775.747687,0.000621
776.431704,0.000613
777.178167,0.000604
777.767003,0.000596
778.463774,0.000588
