Wavelength (nm),Transmission
351.945912,NaN
352.409760,1.876300
353.112775,1.882235
353.932561,1.885814
354.707558,1.888276
355.521931,1.890830
356.209783,1.896439
357.006676,1.903459
357.808571,1.905766
358.584394,1.905012
359.391740,1.909015
360.067638,1.914210
360.892959,1.921778
361.679401,1.929895
362.435682,1.929764
363.299542,1.928407
363.935751,1.933128
364.711317,1.936678
365.522473,1.939017
366.296503,1.942718
367.153839,1.947008
367.791530,1.951851
368.573458,1.954394
369.354389,1.960075
370.155156,1.965691
371.020253,1.966650
371.659609,1.966934
372.442145,1.964000
373.239165,1.957866
374.005175,1.954492
374.836504,1.948709
375.500419,1.944293
376.318638,1.943116
377.085594,1.933217
377.857030,1.922317
378.646879,1.913949
379.366452,1.908962
380.123163,1.904829
380.930441,1.895444
381.714156,1.885686
382.569321,1.882055
383.195191,1.879248
383.987662,1.871072
384.757053,1.868456
385.549823,1.869572
386.390467,1.867040
387.042338,1.865391
387.837741,1.870083
388.632393,1.877018
389.385205,1.877232
390.244403,1.876803
390.881216,1.884397
391.709716,1.892972
392.464778,1.894700
393.244970,1.893928
394.078179,1.895888
394.726671,1.904125
395.536899,1.914684
396.308465,1.924552
397.079954,1.937154
397.924436,1.955205
398.560741,1.979779
399.361886,2.002327
400.093605,2.025356
400.889899,2.055771
401.754318,2.092225
402.390971,2.143464
403.185014,2.202578
403.991266,2.271876
404.707280,2.355463
405.608775,2.574896
406.985038,2.716738
407.781880,2.885682
408.577778,3.078370
409.365200,3.573096
410.834580,3.901057
411.645610,4.286114
412.361010,4.739818
413.152410,5.854214
414.659626,6.542225
415.428321,7.334450
416.179075,8.265051
417.033256,10.642690
418.484179,12.071213
419.279022,13.666907
419.996500,15.441777
420.839046,17.484569
421.525943,19.831514
422.310240,22.457125
423.061755,25.344370
423.868032,28.594606
424.655187,36.252446
426.145802,40.531786
426.856439,45.289211
427.639303,50.426444
428.522231,61.936648
429.937452,68.221276
430.729977,75.290803
431.444712,83.156901
432.245944,100.083271
433.751338,109.037827
434.527901,118.915871
435.303372,129.430533
436.011233,140.873871
436.775358,153.085178
437.543706,166.170155
438.336247,180.045569
439.071928,194.973690
440.389005,211.462340
440.572332,227.370973
441.364015,245.014892
442.137810,263.768738
442.902800,283.836820
443.637193,305.392373
444.395020,327.343240
445.134179,348.412483
445.969967,387.392900
447.487278,419.705973
448.943861,432.658872
449.716823,440.272788
450.545007,444.122151
451.225915,443.461884
452.016622,437.176537
452.777161,425.739384
453.526744,411.450374
454.392555,394.726604
455.005376,375.185156
455.812773,352.915741
456.568320,330.698236
457.324018,309.545053
458.152277,287.657623
458.799022,267.051012
459.600004,248.524124
460.361562,231.494585
461.107908,215.907685
461.929421,202.133595
462.590860,190.239363
463.363955,179.470457
464.145084,169.403982
464.895615,159.927445
465.762227,151.042913
466.371917,142.723448
467.152064,135.141413
467.925251,127.986898
468.673967,121.233857
469.522097,114.760978
470.160427,108.450536
470.951690,102.166341
471.708910,96.121626
472.453067,90.402195
473.274439,84.935290
473.933024,79.859285
474.683816,75.141797
475.444319,70.888159
476.198608,67.121819
476.992302,63.787607
477.704185,60.740316
478.463961,57.995540
479.216812,55.668465
479.969416,53.697672
480.869506,51.980668
481.470693,50.467150
482.226783,49.058008
482.987847,47.793719
483.757656,46.639899
484.538245,45.645601
485.242959,44.873064
485.986930,44.147558
486.757299,43.532947
487.510647,43.126703
488.378953,42.893426
489.011986,42.759276
489.797824,42.735212
490.559669,42.997646
491.308131,43.534087
492.134987,44.182282
492.783802,44.980242
493.560853,46.005961
494.313681,47.236361
495.068118,48.731247
495.924993,50.493569
496.530374,52.286388
497.317264,54.307129
498.077324,56.688739
498.814940,59.203514
499.665555,61.736316
500.289345,64.441742
501.077152,67.381136
501.833271,70.407813
502.571583,73.627911
503.420175,77.038771
504.033264,80.703054
504.803407,84.537249
505.576694,88.345804
506.325397,92.015696
507.145870,95.741040
507.784870,99.839932
508.568011,103.785867
509.325163,107.529219
510.066939,111.423345
510.872339,115.657031
511.529592,119.951368
512.314078,124.042426
513.066991,128.118713
513.792099,132.246034
514.633764,136.366058
515.273996,140.618489
516.036989,144.925894
516.769518,148.583547
517.516190,152.128559
518.303685,156.135092
519.007943,159.717672
519.758485,163.052857
520.513042,166.729972
521.269280,170.388019
522.110446,174.125020
522.739132,177.520919
523.502456,180.448341
524.268478,183.581253
525.015118,186.651866
525.855831,189.667847
526.473331,192.502809
527.231116,195.564353
527.995249,198.460366
528.748316,200.822799
529.570194,202.870450
530.196836,204.869394
530.974668,207.002850
531.725061,209.249982
532.468961,211.804211
533.289954,213.796422
533.919861,215.273047
534.697485,217.047741
535.451761,219.006128
536.186434,221.052560
537.005198,222.774183
537.636504,224.258675
538.416780,226.083125
539.164028,227.920548
539.870274,229.353186
540.691918,230.481139
541.358876,231.774068
542.114986,233.764826
542.872986,235.407822
543.600646,236.360291
544.428189,237.703677
545.066663,239.640584
545.840313,241.243773
546.584128,242.698360
547.323443,243.931721
548.117536,244.729741
548.774720,245.249223
549.541957,245.948168
550.286619,246.870929
551.033987,247.797615
551.859472,248.427807
552.476902,248.883303
553.234527,249.726577
553.991958,250.697361
554.740695,250.958016
555.558313,251.107703
556.172800,251.815930
556.936630,252.107072
557.685299,252.226632
558.433987,252.532750
559.238134,252.956020
559.876922,253.350705
560.644928,253.527103
561.390323,253.765510
562.120066,254.235041
562.945293,254.574319
563.564544,255.053876
564.319844,255.476290
565.082243,255.855275
565.810292,256.165244
566.631019,256.152464
567.251147,255.116123
568.024552,254.209430
568.759599,253.451844
569.492927,252.824825
570.321800,253.460179
570.935916,254.807461
571.704346,254.971551
572.440292,255.366687
573.177500,256.260382
573.952389,256.478063
574.621560,256.322413
575.392903,256.485788
576.130795,256.230252
576.857287,255.239016
577.661388,253.097921
578.290306,248.824878
579.038619,245.829821
579.792694,244.537341
580.536027,243.849258
581.327592,242.731118
581.967338,241.698442
582.709155,240.770877
583.470476,240.063050
584.208432,239.553897
585.004944,238.435789
585.637334,237.089139
586.398086,236.480845
587.129844,236.126068
587.875262,235.694107
588.712037,235.253012
589.301068,234.661847
590.051066,233.768088
590.798313,233.429123
591.534579,233.514642
592.371899,232.961138
592.964617,231.145949
593.701898,229.259229
594.456543,228.092924
595.192302,228.424315
596.025516,229.398076
596.609891,230.987957
597.359993,231.176759
598.116696,230.524786
598.836224,229.544503
599.676667,227.973230
600.265816,225.372628
601.039800,223.773053
601.777097,223.550100
602.491196,223.940656
603.310966,223.688307
603.913202,222.443566
604.680440,220.244472
605.412109,218.029687
606.137398,216.140368
606.978018,214.335444
607.555991,212.545257
608.327705,210.928097
609.044119,209.097238
609.779737,207.347384
610.578780,205.280157
611.204951,202.941698
611.959547,201.242062
612.695911,199.555887
613.412582,198.073147
614.233881,196.538558
614.839442,194.732897
615.579865,192.867671
616.331025,191.116827
617.047990,189.419251
617.859164,187.794175
618.474111,185.897307
619.226266,184.124185
619.953660,182.552372
620.673928,180.689291
621.482308,178.770760
622.096862,176.989352
622.847774,174.895706
623.581682,172.613744
624.297159,170.512156
625.108717,168.595627
625.717827,167.018122
626.459504,165.102271
627.206919,162.841573
627.924473,160.813116
628.715070,159.004291
629.337261,157.470491
630.094814,155.910011
630.808394,153.985872
631.541190,151.944758
632.318605,150.288052
632.953231,148.907635
633.707001,147.085413
634.400673,145.316151
635.136053,143.835741
635.941929,142.113936
636.563274,140.305650
637.317885,138.684188
638.017488,137.027989
638.737875,135.353319
639.522578,133.726138
640.167997,131.767809
640.888747,129.824921
641.605882,128.274468
642.322493,126.821527
643.160517,125.454793
643.762005,124.219214
644.494751,122.750830
645.236383,121.361212
645.963653,120.226978
646.756641,119.186897
647.358434,117.826130
648.119286,116.348377
648.837700,114.993956
649.555870,113.364353
650.335230,111.580620
650.960803,109.857946
651.681337,108.211493
652.431832,106.471766
653.140765,104.799995
653.960688,103.216573
654.544102,101.723103
655.274350,100.140100
656.016448,98.446127
656.702802,96.897652
657.517625,95.455559
658.126441,93.908414
658.875003,92.397904
659.595416,90.678616
660.312464,89.156074
661.081540,87.901623
661.703235,86.352651
662.450341,85.036144
663.132877,83.805472
663.866509,82.560193
664.666072,81.316517
665.284006,80.092050
666.021292,79.113804
666.739116,78.067094
667.441972,76.818779
668.244003,75.648765
668.846998,74.691296
669.589313,73.699938
670.306585,72.734018
671.019985,71.724861
671.805190,70.665023
672.414654,69.660087
673.153323,68.749456
673.876527,67.764142
674.584907,66.636832
675.362829,65.627175
675.965936,64.663654
676.719686,63.727693
677.423887,62.835458
678.123774,61.909465
678.943128,60.962422
679.531800,60.038655
680.268480,58.991573
680.979769,58.013414
681.694311,57.119224
682.463342,56.209633
683.074122,55.299833
683.820684,54.386722
684.531670,53.549412
685.237012,52.733386
686.051508,51.939728
686.629145,51.080995
687.369308,50.095835
688.073413,49.277918
688.787941,48.612105
689.583640,47.852070
690.168173,46.949965
690.908344,46.212633
691.624103,45.575740
692.309588,44.878740
693.100828,44.042002
693.700363,43.223577
694.419208,42.530201
695.153045,41.799047
695.859278,41.114207
696.645217,40.465542
697.235313,39.776161
697.963028,39.126548
698.681014,38.534893
699.377719,37.953353
700.167566,37.395301
700.761915,36.822914
701.476134,36.148423
702.199076,35.497766
702.896133,34.953044
703.693740,34.450190
704.282763,33.834581
705.002171,33.226580
705.723204,32.750412
706.420015,32.260094
707.218433,31.716595
707.798749,31.204105
708.532268,30.651421
709.247031,30.132887
709.943191,29.689179
710.745100,29.217178
711.310173,28.723353
712.026655,28.265416
712.747417,27.832869
713.459814,27.353983
714.229042,26.864191
714.819175,26.413528
715.533264,25.991726
716.255179,25.584129
716.953465,25.205503
717.685169,24.830349
718.338164,24.424817
719.059367,24.025864
719.746450,23.654870
720.465973,23.285315
721.248847,22.903564
721.822651,22.511311
722.555753,22.167827
723.259978,21.824722
723.949271,21.452647
724.710588,21.102730
725.316286,20.773682
726.040329,20.471062
726.743045,20.183199
727.438775,19.889752
728.228239,19.597059
728.796999,19.300368
729.516998,18.982560
730.221589,18.654833
730.923187,18.354635
731.690939,18.077889
732.281949,17.778625
733.008364,17.484857
733.702446,17.225589
734.402854,16.990094
735.144332,16.739138
735.755185,16.465677
736.487803,16.187461
737.180785,15.934980
737.870586,15.682929
738.676077,15.415683
739.228047,15.160512
739.957998,14.928260
740.663120,14.717903
741.331266,14.516453
742.099524,14.290942
742.698286,14.071282
743.423490,13.866637
744.122723,13.674581
744.800525,13.494434
745.508372,13.290015
746.190697,13.052046
746.853257,12.859632
747.555467,12.678609
748.267281,12.458777
748.961558,12.271189
749.968819,12.084582
750.308562,11.916461
751.037760,11.758346
751.720151,11.584642
752.412278,11.413377
753.559392,11.281774
753.754190,11.134070
754.457529,10.981869
755.177003,10.844590
755.856682,10.704217
756.524893,10.563797
757.203674,10.448293
757.924395,10.349651
758.617605,10.237068
759.298836,10.079496
760.073060,9.907006
760.645957,9.766099
761.363199,9.618552
762.048133,9.451705
762.730457,9.293146
763.505566,9.158390
764.072736,9.042168
764.793607,8.896870
765.490335,8.748116
766.160519,8.604494
766.944108,8.469630
767.511772,8.363676
768.226010,8.253505
769.593595,7.979593
770.376451,7.867934
770.930783,7.761157
771.612054,7.648511
772.980573,7.424545
773.804174,7.312738
774.351031,7.209707
775.041894,7.113850
775.747687,7.025875
776.431704,6.925882
777.178167,6.823271
777.767003,6.723800
778.463774,6.620844
779.164929,6.526549
779.848424,6.447230
780.613369,6.363442
781.173904,6.280392
781.870968,6.209173
782.574705,6.128089
783.229583,6.042502
784.003897,5.958416
784.578598,5.874512
785.271213,5.808710
785.974348,5.736249
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
