Wavelength (nm),Intensity (uW)
601.617556,0.000051
601.898285,0.000051
602.592501,0.000051
603.310025,0.000051
604.056984,0.000051
604.767236,0.000051
605.527693,0.000051
606.233502,0.000051
606.956896,0.000051
607.678751,0.000051
608.425328,0.000051
609.154634,0.000051
609.881853,0.000051
610.615274,0.000051
611.336222,0.000051
612.061411,0.000052
612.792585,0.000051
613.515562,0.000051
614.234648,0.000052
614.976309,0.000051
615.737280,0.000051
616.429920,0.000051
617.147605,0.000051
617.892182,0.000051
618.604000,0.000051
619.328825,0.000052
620.063525,0.000052
620.776642,0.000052
621.516661,0.000051
622.231898,0.000051
622.956707,0.000051
623.699710,0.000052
624.396712,0.000052
625.129287,0.000051
625.867870,0.000052
626.590923,0.000052
627.308050,0.000052
628.021883,0.000052
628.755326,0.000052
629.489261,0.000052
630.195431,0.000052
630.935250,0.000052
631.659466,0.000052
632.364459,0.000052
633.109391,0.000052
633.800116,0.000052
634.551210,0.000052
635.282978,0.000052
635.971302,0.000052
636.700173,0.000052
637.423741,0.000052
638.137039,0.000052
638.869339,0.000052
639.586808,0.000052
640.325007,0.000052
641.033764,0.000052
641.742713,0.000052
642.447034,0.000052
643.191893,0.000052
643.917908,0.000052
644.617484,0.000052
645.352246,0.000052
646.094535,0.000052
646.767872,0.000052
647.524109,0.000052
648.232004,0.000052
648.923886,0.000052
649.664989,0.000052
650.385094,0.000052
651.104256,0.000052
651.814419,0.000052
652.537794,0.000052
653.248029,0.000052
653.957839,0.000052
654.702126,0.000052
655.401921,0.000052
656.119523,0.000052
656.823250,0.000052
657.538147,0.000052
658.303323,0.000052
658.970059,0.000052
659.689137,0.000052
660.415687,0.000052
661.130951,0.000052
661.859227,0.000052
662.562094,0.000052
663.279141,0.000052
663.981636,0.000052
664.701433,0.000052
665.448323,0.000052
666.137397,0.000052
666.846403,0.000052
667.564998,0.000052
668.282950,0.000052
669.011442,0.000052
669.703573,0.000052
670.417021,0.000052
671.155992,0.000052
671.844314,0.000052
672.571492,0.000052
673.272466,0.000052
673.973427,0.000052
674.687076,0.000052
675.408608,0.000052
676.135643,0.000052
676.842792,0.000052
677.555440,0.000052
678.262749,0.000052
678.962937,0.000052
679.685128,0.000052
680.420811,0.000052
681.099211,0.000052
681.810795,0.000052
682.503711,0.000052
683.243582,0.000052
683.925570,0.000052
684.641540,0.000052
685.350011,0.000052
686.056991,0.000052
686.784313,0.000052
687.471246,0.000052
688.184569,0.000052
688.885747,0.000052
689.598505,0.000052
690.326675,0.000052
691.009334,0.000052
691.727905,0.000052
692.438121,0.000053
693.131512,0.000052
693.862299,0.000052
694.556357,0.000052
695.257868,0.000052
695.968504,0.000052
696.661255,0.000052
697.407695,0.000052
698.074379,0.000052
698.791233,0.000052
699.507554,0.000052
700.201865,0.000052
700.904182,0.000052
701.602708,0.000052
702.321014,0.000052
703.043348,0.000052
703.730791,0.000052
704.422678,0.000052
705.123267,0.000052
705.842212,0.000052
706.532032,0.000052
707.252398,0.000052
707.973778,0.000052
708.646055,0.000052
709.360415,0.000053
710.038654,0.000052
710.816520,0.000052
711.458677,0.000052
712.166199,0.000052
712.861277,0.000052
713.577159,0.000052
714.264805,0.000052
714.970104,0.000052
715.664737,0.000052
716.376478,0.000052
717.059523,0.000052
717.777423,0.000052
718.478763,0.000051
719.164955,0.000051
719.873201,0.000051
720.566569,0.000051
721.284982,0.000050
721.975689,0.000050
722.666172,0.000050
723.419450,0.000050
724.108008,0.000050
724.787143,0.000050
725.481575,0.000050
726.148524,0.000050
726.874572,0.000050
727.556675,0.000050
728.256876,0.000050
728.999263,0.000050
729.636363,0.000050
730.363908,0.000050
731.058483,0.000050
731.733344,0.000050
732.451293,0.000050
733.134182,0.000050
733.836177,0.000050
734.504430,0.000050
735.207543,0.000050
735.913505,0.000050
736.618534,0.000050
737.285769,0.000050
737.997692,0.000050
738.697166,0.000051
739.375561,0.000050
740.112328,0.000050
740.767948,0.000050
741.481381,0.000050
742.161889,0.000050
742.846984,0.000050
743.564778,0.000050
744.231694,0.000050
744.944754,0.000050
745.644006,0.000050
746.317488,0.000050
747.011861,0.000050
747.701876,0.000050
748.401269,0.000050
749.078480,0.000050
749.797409,0.000050
750.465721,0.000050
751.155926,0.000050
751.844387,0.000050
752.541588,0.000050
753.215239,0.000050
753.913155,0.000050
754.606841,0.000050
755.289682,0.000050
755.978530,0.000050
756.665932,0.000050
757.393105,0.000050
758.045285,0.000050
758.737190,0.000050
759.437209,0.000050
760.105750,0.000050
760.827232,0.000051
761.487586,0.000050
762.163858,0.000050
762.857161,0.000050
763.566739,0.000050
764.218788,0.000050
764.911328,0.000050
765.590961,0.000050
766.292149,0.000050
766.978075,0.000050
767.651771,0.000050
768.343481,0.000050
769.022105,0.000050
769.707796,0.000050
770.412075,0.000050
771.071450,0.000050
771.762004,0.000050
772.487100,0.000050
773.134305,0.000050
773.824307,0.000050
774.499668,0.000050
775.187042,0.000050
775.867333,0.000050
776.553133,0.000050
777.248752,0.000050
777.918160,0.000050
778.590009,0.000050
779.284937,0.000050
779.958488,0.000050
780.657666,0.000050
781.318164,0.000050
782.036939,0.000050
782.727230,0.000050
783.360153,0.000050
784.048859,0.000050
784.724357,0.000050
785.409998,0.000050
786.097909,0.000050
786.756892,0.000050
787.458565,0.000050
788.119292,0.000050
788.808776,0.000050
789.474224,0.000050
790.156275,0.000050
790.847515,0.000050
791.508988,0.000050
792.210589,0.000050
792.846237,0.000050
793.548029,0.000050
794.240105,0.000050
794.902450,0.000050
795.600863,0.000050
796.251466,0.000050
796.926978,0.000050
797.611538,0.000050
798.307169,0.000050
798.961412,0.000050
799.637801,0.000050
800.319800,0.000050
800.990370,0.000050
801.665746,0.000050
802.339554,0.000050
803.012683,0.000051
803.683219,0.000051
804.376041,0.000051
805.047256,0.000050
805.709739,0.000050
806.371475,0.000050
807.046816,0.000050
807.728712,0.000050
808.393412,0.000050
809.082691,0.000050
809.733197,0.000050
810.416979,0.000050
811.087829,0.000050
811.762396,0.000050
812.436350,0.000050
813.095297,0.000050
813.763334,0.000050
814.440067,0.000050
815.100038,0.000050
815.789880,0.000050
816.447001,0.000050
817.101097,0.000050
817.809112,0.000050
818.451100,0.000050
819.126373,0.000050
819.804657,0.000050
820.452931,0.000050
821.131099,0.000050
821.795594,0.000050
822.456391,0.000050
823.135619,0.000050
823.812496,0.000050
824.476110,0.000050
825.129696,0.000050
825.795028,0.000050
826.474824,0.000050
827.137519,0.000050
827.798607,0.000050
828.459129,0.000050
829.139839,0.000050
829.801760,0.000050
830.485300,0.000050
831.134182,0.000050
831.795805,0.000050
832.447648,0.000050
833.119302,0.000050
833.787532,0.000050
834.448614,0.000050
835.107283,0.000050
835.765234,0.000050
836.440650,0.000050
837.117559,0.000050
837.751723,0.000050
838.436980,0.000050
839.089555,0.000050
839.739847,0.000050
840.419213,0.000050
841.082209,0.000050
841.733760,0.000050
842.398443,0.000050
843.052984,0.000050
843.723415,0.000050
844.373949,0.000050
845.037679,0.000050
845.707572,0.000050
846.354201,0.000050
847.011210,0.000050
847.682877,0.000050
848.341388,0.000050
848.995688,0.000050
849.656806,0.000050
850.310789,0.000050
850.992192,0.000050
851.614342,0.000050
852.320076,0.000050
852.946634,0.000050
853.597065,0.000051
854.254963,0.000050
854.908735,0.000051
855.569400,0.000051
856.306638,0.000051
856.876401,0.000051
857.537560,0.000051
858.180471,0.000050
858.835117,0.000050
859.525036,0.000050
860.160101,0.000050
860.812469,0.000050
861.464564,0.000051
862.130592,0.000051
862.767337,0.000051
863.459636,0.000051
864.068771,0.000051
864.728384,0.000051
865.372146,0.000051
866.070276,0.000052
866.698997,0.000052
867.340672,0.000052
868.038783,0.000052
868.634977,0.000053
869.321106,0.000053
869.940168,0.000053
870.612140,0.000053
871.235038,0.000053
871.888418,0.000053
872.572464,0.000053
873.193085,0.000053
873.852366,0.000053
874.503946,0.000053
875.132628,0.000053
875.808436,0.000053
876.461396,0.000053
877.084621,0.000053
877.737500,0.000053
878.396604,0.000053
879.038812,0.000053
879.681929,0.000053
880.320721,0.000053
880.971324,0.000053
881.614504,0.000053
882.287708,0.000053
882.926948,0.000053
883.566693,0.000053
884.199987,0.000053
884.859910,0.000053
885.544035,0.000053
886.139073,0.000053
886.801382,0.000053
887.432496,0.000053
888.063047,0.000053
888.734236,0.000053
889.384870,0.000053
890.012492,0.000053
890.643388,0.000053
891.286422,0.000053
891.950809,0.000053
892.584391,0.000053
893.224869,0.000053
893.862235,0.000053
894.500786,0.000053
895.163138,0.000053
895.768134,0.000053
896.443790,0.000053
897.056855,0.000053
897.729421,0.000053
898.344518,0.000053
898.993244,0.000053
899.628449,0.000053
900.266901,0.000053
900.912081,0.000053
901.553155,0.000053
902.198998,0.000053
902.811069,0.000053
903.468223,0.000053
904.090432,0.000053
904.717813,0.000053
905.400957,0.000053
906.000596,0.000053
906.648544,0.000053
907.278710,0.000053
907.919813,0.000053
908.573050,0.000053
