Wavelength (nm),Intensity (uW)
605.518124,0.000161
605.924501,0.000160
606.589394,0.000160
607.328027,0.000161
608.094631,0.000161
608.937395,0.000161
609.506819,0.000161
610.254218,0.000161
611.003797,0.000161
611.710984,0.000160
612.525941,0.000161
613.143637,0.000160
613.890744,0.000160
614.643895,0.000161
615.366998,0.000160
616.167589,0.000160
616.767941,0.000161
617.525932,0.000160
618.272158,0.000160
619.004671,0.000161
619.817380,0.000160
620.408869,0.000160
621.168792,0.000159
621.906723,0.000160
622.622565,0.000160
623.424293,0.000161
624.030895,0.000161
624.760342,0.000161
625.528011,0.000161
626.239582,0.000162
627.024852,0.000161
627.654428,0.000161
628.419263,0.000161
629.141642,0.000161
629.869271,0.000161
630.668940,0.000160
631.277302,0.000160
632.026441,0.000161
632.768742,0.000161
633.482778,0.000161
634.277781,0.000161
634.885431,0.000161
635.622091,0.000162
636.361767,0.000161
637.105072,0.000161
637.903471,0.000161
638.487972,0.000161
639.253083,0.000161
639.978074,0.000160
640.691403,0.000160
641.512398,0.000161
642.094361,0.000161
642.851085,0.000161
643.573505,0.000162
644.290494,0.000162
645.083527,0.000162
645.696074,0.000162
646.430762,0.000162
647.177808,0.000162
647.854996,0.000162
648.648468,0.000162
649.287245,0.000162
650.023074,0.000162
650.769104,0.000162
651.482928,0.000162
652.289186,0.000162
652.874931,0.000161
653.615128,0.000161
654.353347,0.000161
655.064005,0.000161
655.863267,0.000162
656.461983,0.000161
657.216070,0.000161
657.934046,0.000162
658.661421,0.000161
659.451371,0.000161
660.042646,0.000162
660.804100,0.000162
661.506026,0.000162
662.233934,0.000162
663.004962,0.000161
663.616925,0.000161
664.354013,0.000161
665.105200,0.000161
665.802511,0.000161
666.614097,0.000161
667.190825,0.000161
667.911698,0.000162
668.648626,0.000162
669.366816,0.000162
670.163838,0.000161
670.755121,0.000161
671.493301,0.000161
672.207424,0.000162
672.934426,0.000162
673.736352,0.000162
674.321387,0.000162
675.071722,0.000162
675.794411,0.000161
676.481700,0.000161
677.302871,0.000162
677.877982,0.000162
678.607152,0.000162
679.348205,0.000162
680.038998,0.000162
680.851610,0.000162
681.425513,0.000162
682.174471,0.000162
682.876169,0.000162
683.588500,0.000162
684.402006,0.000162
684.982884,0.000162
685.727063,0.000162
686.461717,0.000162
687.144742,0.000162
687.932339,0.000162
688.522311,0.000163
689.267222,0.000163
689.980674,0.000163
690.690606,0.000163
691.492993,0.000164
692.059547,0.000164
692.782422,0.000164
693.519654,0.000164
694.220710,0.000164
695.021898,0.000164
695.593086,0.000163
696.324938,0.000163
697.055225,0.000163
697.751901,0.000163
698.563071,0.000163
699.125390,0.000163
699.851046,0.000163
700.575881,0.000163
701.281661,0.000163
702.098038,0.000163
702.649026,0.000163
703.376120,0.000163
704.090744,0.000164
704.802046,0.000164
705.632638,0.000163
706.164292,0.000163
706.878572,0.000163
707.621325,0.000164
708.318570,0.000164
709.115146,0.000165
709.686537,0.000164
710.430006,0.000163
711.132332,0.000164
711.832385,0.000164
712.625710,0.000163
713.194150,0.000163
713.910524,0.000164
714.643875,0.000164
715.335451,0.000164
716.138393,0.000164
716.690743,0.000163
717.416554,0.000163
718.135975,0.000164
718.832598,0.000164
719.645642,0.000164
720.193169,0.000164
720.916702,0.000164
721.644690,0.000164
722.329854,0.000163
723.127492,0.000164
723.689635,0.000164
724.404733,0.000165
725.134326,0.000165
725.821035,0.000165
726.614233,0.000165
727.180498,0.000165
727.924219,0.000164
728.620242,0.000164
729.295203,0.000164
730.087109,0.000164
730.667999,0.000164
731.383394,0.000164
732.106107,0.000165
732.791772,0.000165
733.563792,0.000165
734.147269,0.000164
734.883140,0.000164
735.582027,0.000164
736.277407,0.000164
737.058612,0.000164
737.622481,0.000164
738.356923,0.000164
739.043904,0.000164
739.740924,0.000164
740.526120,0.000164
741.093749,0.000164
741.818771,0.000164
742.518416,0.000165
743.213014,0.000164
744.013784,0.000164
744.567809,0.000164
745.284335,0.000164
745.984174,0.000164
746.676239,0.000164
747.465899,0.000165
748.020316,0.000164
748.756343,0.000164
749.474528,0.000164
750.099859,0.000165
750.902366,0.000166
751.474822,0.000166
752.198448,0.000165
752.899646,0.000165
753.547219,0.000165
754.361680,0.000164
754.924492,0.000164
755.654074,0.000164
756.339654,0.000165
757.029956,0.000165
757.785801,0.000166
758.363670,0.000183
759.089411,0.000233
759.753886,0.000366
760.435585,0.000638
761.249552,0.001233
762.507432,0.001362
763.171219,0.001271
763.875877,0.000992
764.648133,0.000661
765.230020,0.000370
765.921986,0.000203
766.646596,0.000166
767.315292,0.000165
768.065993,0.000169
768.659730,0.000184
769.373975,0.000218
770.067095,0.000267
770.745751,0.000313
771.474168,0.000338
772.084277,0.000333
772.799409,0.000297
773.491819,0.000245
774.165690,0.000200
774.913316,0.000175
775.500812,0.000166
776.200971,0.000165
776.898957,0.000166
777.579834,0.000166
778.338093,0.000165
778.912343,0.000165
779.609726,0.000164
780.314940,0.000164
780.985962,0.000164
781.745687,0.000164
782.324212,0.000164
783.030522,0.000165
783.715154,0.000165
784.384946,0.000165
785.149728,0.000175
785.718148,0.000202
786.437327,0.000238
787.117604,0.000273
787.791376,0.000294
788.560349,0.000288
789.122860,0.000259
789.818024,0.000222
790.503574,0.000188
791.181336,0.000169
791.938954,0.000167
792.502671,0.000167
793.213217,0.000168
793.899468,0.000169
794.570531,0.000169
795.268885,0.000169
795.890245,0.000168
796.566541,0.000167
797.246873,0.000165
797.921507,0.000164
798.627120,0.000165
799.275177,0.000165
799.943543,0.000165
800.619297,0.000165
801.296157,0.000164
802.000350,0.000164
802.650673,0.000165
803.351496,0.000165
804.023190,0.000164
804.700566,0.000164
805.458397,0.000170
806.013131,0.000187
806.704059,0.000213
807.390994,0.000240
808.056510,0.000257
808.800388,0.000257
809.376266,0.000243
810.059987,0.000244
810.753879,0.000349
811.418693,0.000639
812.174323,0.001060
812.732136,0.001459
813.421980,0.001670
814.085632,0.001593
814.782543,0.001265
815.557609,0.000831
816.086253,0.000443
816.769592,0.000223
817.456909,0.000169
818.135272,0.000171
818.858034,0.000208
819.436650,0.000287
820.116150,0.000380
820.802934,0.000459
821.484102,0.000489
822.197656,0.000450
822.775374,0.000366
823.468458,0.000276
824.145920,0.000201
824.806141,0.000169
825.540598,0.000172
826.105824,0.000212
826.788431,0.000293
827.470602,0.000387
828.136584,0.000473
828.860216,0.000523
829.441877,0.000564
830.132954,0.000633
830.795925,0.000712
831.456852,0.000778
832.203823,0.000801
832.764263,0.000733
833.432554,0.000578
834.123673,0.000401
834.778979,0.000251
835.532519,0.000177
836.071301,0.000165
836.736534,0.000165
837.406638,0.000165
838.101283,0.000164
838.828742,0.000164
839.390782,0.000164
840.086947,0.000164
840.745181,0.000164
841.415298,0.000164
842.119703,0.000170
842.698150,0.000176
843.391665,0.000170
844.054403,0.000164
844.707526,0.000164
845.438226,0.000164
845.993167,0.000164
846.665024,0.000164
847.344165,0.000164
848.006562,0.000164
848.720287,0.000164
849.287662,0.000164
849.962050,0.000165
850.638167,0.000179
851.293254,0.000207
852.016705,0.000240
852.577141,0.000268
853.259540,0.000279
853.927553,0.000266
854.575826,0.000237
855.299726,0.000204
855.855953,0.000177
856.531586,0.000166
857.203084,0.000165
857.853021,0.000165
858.588514,0.000165
859.135604,0.000165
859.823658,0.000164
860.487638,0.000164
861.127854,0.000164
861.865907,0.000164
862.409480,0.000164
863.089154,0.000163
863.747587,0.000164
864.393561,0.000164
865.127939,0.000165
865.672508,0.000164
866.361752,0.000164
867.011313,0.000164
867.657403,0.000164
868.385167,0.000164
868.932540,0.000163
869.612520,0.000163
870.266828,0.000164
870.919099,0.000163
871.604325,0.000163
872.194321,0.000164
872.851504,0.000163
873.521060,0.000163
874.170012,0.000163
874.890567,0.000163
875.434351,0.000164
876.113458,0.000165
876.768206,0.000182
877.409463,0.000278
878.138518,0.000465
878.666471,0.000673
879.352288,0.000816
879.999034,0.000839
880.644286,0.000740
881.369851,0.000565
881.901334,0.000371
882.583541,0.000224
883.236896,0.000170
883.866380,0.000164
884.595596,0.000163
885.132165,0.000163
885.808008,0.000163
886.461738,0.000163
887.093952,0.000162
887.832948,0.000163
888.355066,0.000163
889.040831,0.000162
889.674699,0.000163
890.319428,0.000164
891.019973,0.000164
891.573359,0.000165
892.245011,0.000198
892.891499,0.000299
893.525469,0.000448
894.219824,0.000591
894.786473,0.000674
895.450698,0.000665
896.100068,0.000562
896.746169,0.000408
897.478535,0.000263
897.987213,0.000181
898.656408,0.000164
899.307854,0.000163
899.939469,0.000163
900.653033,0.000164
901.188045,0.000164
901.848508,0.000164
902.499540,0.000163
903.120729,0.000163
903.831408,0.000163
904.379094,0.000163
905.043575,0.000163
905.717692,0.000162
906.318656,0.000162
907.047681,0.000163
907.560731,0.000163
908.218238,0.000162
908.865687,0.000163
909.503486,0.000163
910.209788,0.000163
910.741975,0.000163
911.405572,0.000162
912.040250,0.000162
912.678398,0.000163
913.410492,0.000162
913.921880,0.000162
914.561607,0.000162
915.216464,0.000162
915.847343,0.000161
916.578966,0.000161
917.083869,0.000162
917.742429,0.000162
918.380689,0.000162
919.003881,0.000162
919.714661,0.000162
920.239454,0.000162
920.906677,0.000162
921.539024,0.000162
922.168924,0.000163
922.866412,0.000163
923.395925,0.000162
924.055472,0.000162
924.687295,0.000163
925.314638,0.000162
925.986166,0.000162
926.541182,0.000163
927.204743,0.000163
927.835777,0.000163
928.440064,0.000163
929.177673,0.000163
929.677428,0.000162
930.344037,0.000162
930.975181,0.000162
931.593584,0.000162
932.290664,0.000161
932.819549,0.000162
933.453928,0.000162
934.095018,0.000162
934.726794,0.000162
935.413597,0.000163
935.944730,0.000163
936.579816,0.000163
937.227208,0.000164
937.853490,0.000165
938.539829,0.000164
939.069309,0.000164
939.696388,0.000164
940.352004,0.000163
940.968438,0.000162
941.661370,0.000162
942.181831,0.000162
942.833622,0.000162
943.459925,0.000163
944.077183,0.000163
944.754925,0.000162
945.293339,0.000162
945.945149,0.000162
946.564962,0.000162
947.179900,0.000162
947.891160,0.000163
948.387672,0.000163
949.026883,0.000163
949.662370,0.000163
950.278652,0.000163
950.997487,0.000163
951.487306,0.000162
952.132107,0.000163
952.757662,0.000162
953.373530,0.000162
954.061254,0.000162
954.579117,0.000162
955.227889,0.000163
955.838527,0.000164
956.463827,0.000163
957.120296,0.000163
957.657371,0.000163
958.304614,0.000162
958.923720,0.000162
959.509840,0.000162
960.237542,0.000163
960.730385,0.000163
961.381381,0.000162
961.989689,0.000162
962.608425,0.000162
963.291395,0.000163
963.805936,0.000162
964.429756,0.000163
965.064567,0.000164
965.669132,0.000163
966.339982,0.000163
966.864436,0.000162
967.494626,0.000163
968.120304,0.000163
968.726652,0.000163
969.430829,0.000162
969.922856,0.000162
970.545478,0.000163
971.182084,0.000163
971.785253,0.000164
972.476102,0.000164
972.972961,0.000164
973.592495,0.000163
974.220747,0.000163
974.837055,0.000172
975.489436,0.000192
976.014347,0.000219
976.637818,0.000239
977.264957,0.000248
977.861471,0.000245
978.534396,0.000227
979.048249,0.000201
979.683914,0.000177
980.299159,0.000165
980.895193,0.000163
981.571992,0.000163
982.073814,0.000163
982.711151,0.000163
983.319006,0.000162
983.925186,0.000162
984.590917,0.000163
985.101088,0.000163
985.731352,0.000164
986.336568,0.000165
986.939089,0.000166
987.611977,0.000167
988.117366,0.000167
988.741873,0.000166
989.352198,0.000165
989.952726,0.000164
990.614878,0.000163
991.125565,0.000162
991.741066,0.000162
992.354100,0.000162
992.952014,0.000162
993.630936,0.000162
994.125530,0.000163
994.753172,0.000163
995.350928,0.000162
995.950513,0.000162
996.619003,0.000162
997.117627,0.000162
997.733860,0.000162
998.353349,0.000163
998.942485,0.000163
999.613735,0.000163
1000.105120,0.000163
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
