Wavelength (nm),Transmission
605.518124,3.166914
605.924501,3.133378
606.589394,3.120295
607.328027,3.137299
608.094631,3.146455
608.937395,3.144578
609.506819,3.141171
610.254218,3.138678
611.003797,3.124872
611.710984,3.110179
612.525941,3.114004
613.143637,3.124647
613.890744,3.116844
614.643895,3.121313
615.366998,3.120298
616.167589,3.121973
616.767941,3.123900
617.525932,3.116401
618.272158,3.115601
619.004671,3.113147
619.817380,3.104609
620.408869,3.103461
621.168792,3.096109
621.906723,3.104781
622.622565,3.121613
623.424293,3.120179
624.030895,3.113462
624.760342,3.117144
625.528011,3.126719
626.239582,3.122705
627.024852,3.103702
627.654428,3.100075
628.419263,3.106961
629.141642,3.106933
629.869271,3.110041
630.668940,3.109532
631.277302,3.100989
632.026441,3.108392
632.768742,3.109467
633.482778,3.109201
634.277781,3.111521
634.885431,3.117166
635.622091,3.137786
636.361767,3.127212
637.105072,3.106284
637.903471,3.099439
638.487972,3.094715
639.253083,3.099108
639.978074,3.090167
640.691403,3.086703
641.512398,3.092024
642.094361,3.087438
642.851085,3.092484
643.573505,3.100396
644.290494,3.100962
645.083527,3.100395
645.696074,3.100367
646.430762,3.108983
647.177808,3.116362
647.854996,3.105245
648.648468,3.109782
649.287245,3.118842
650.023074,3.106337
650.769104,3.098968
651.482928,3.097177
652.289186,3.099118
652.874931,3.095835
653.615128,3.087256
654.353347,3.090456
655.064005,3.098146
655.863267,3.095292
656.461983,3.094285
657.216070,3.092857
657.934046,3.097454
658.661421,3.102687
659.451371,3.104429
660.042646,3.105014
660.804100,3.100189
661.506026,3.110277
662.233934,3.116562
663.004962,3.095335
663.616925,3.083204
664.354013,3.086872
665.105200,3.093012
665.802511,3.100587
666.614097,3.101312
667.190825,3.101256
667.911698,3.105905
668.648626,3.124280
669.366816,3.119757
670.163838,3.105454
670.755121,3.097191
671.493301,3.107348
672.207424,3.127994
672.934426,3.114253
673.736352,3.115325
674.321387,3.130224
675.071722,3.131533
675.794411,3.113278
676.481700,3.100986
677.302871,3.115688
677.877982,3.109640
678.607152,3.113180
679.348205,3.112847
680.038998,3.097200
680.851610,3.086459
681.425513,3.089536
682.174471,3.106886
682.876169,3.117731
683.588500,3.110778
684.402006,3.110911
684.982884,3.114175
685.727063,3.111715
686.461717,3.111931
687.144742,3.109251
687.932339,3.111429
688.522311,3.114551
689.267222,3.112187
689.980674,3.115388
690.690606,3.124359
691.492993,3.131974
692.059547,3.131471
692.782422,3.128616
693.519654,3.134910
694.220710,3.135268
695.021898,3.121248
695.593086,3.118077
696.324938,3.120214
697.055225,3.123748
697.751901,3.123147
698.563071,3.124097
699.125390,3.135843
699.851046,3.129061
700.575881,3.124646
701.281661,3.137241
702.098038,3.138674
702.649026,3.120443
703.376120,3.122873
704.090744,3.137805
704.802046,3.146033
705.632638,3.138909
706.164292,3.128904
706.878572,3.126673
707.621325,3.120833
708.318570,3.128871
709.115146,3.139323
709.686537,3.123480
710.430006,3.117200
711.132332,3.126421
711.832385,3.134289
712.625710,3.131338
713.194150,3.136554
713.910524,3.146140
714.643875,3.137001
715.335451,3.135211
716.138393,3.145889
716.690743,3.146207
717.416554,3.143291
718.135975,3.170788
718.832598,3.213911
719.645642,3.227591
720.193169,3.228242
720.916702,3.238589
721.644690,3.247220
722.329854,3.251645
723.127492,3.258218
723.689635,3.275312
724.404733,3.301795
725.134326,3.298543
725.821035,3.286252
726.614233,3.284724
727.180498,3.292049
727.924219,3.287116
728.620242,3.275269
729.295203,3.266597
730.087109,3.262244
730.667999,3.265656
731.383394,3.268433
732.106107,3.284337
732.791772,3.290769
733.563792,3.282857
734.147269,3.277733
734.883140,3.268441
735.582027,3.265211
736.277407,3.263630
737.058612,3.262136
737.622481,3.268570
738.356923,3.257237
739.043904,3.249624
739.740924,3.254444
740.526120,3.258895
741.093749,3.263374
741.818771,3.275676
742.518416,3.287928
743.213014,3.278981
744.013784,3.277724
744.567809,3.283775
745.284335,3.279292
745.984174,3.285070
746.676239,3.294811
747.465899,3.304723
748.020316,3.307339
748.756343,3.287737
749.474528,3.281169
750.099859,3.288910
750.902366,3.301916
751.474822,3.303743
752.198448,3.287588
752.899646,3.290125
753.547219,3.285804
754.361680,3.273867
754.924492,3.275637
755.654074,3.275735
756.339654,3.285513
757.029956,3.287798
757.785801,3.305376
758.363670,3.650051
759.089411,4.647033
759.753886,7.294123
760.435585,12.651723
761.249552,24.432043
762.507432,27.142357
763.171219,25.331553
763.875877,19.825119
764.648133,13.221067
765.230020,7.391827
765.921986,4.050267
766.646596,3.334379
767.315292,3.319516
768.065993,3.386171
768.659730,3.687618
769.373975,4.352666
770.067095,5.332148
770.745751,6.263782
771.474168,6.769142
772.084277,6.671638
772.799409,5.946705
773.491819,4.890991
774.165690,3.986898
774.913316,3.469295
775.500812,3.289927
776.200971,3.279663
776.898957,3.296570
777.579834,3.298821
778.338093,3.288774
778.912343,3.273255
779.609726,3.264806
780.314940,3.267554
780.985962,3.265033
781.745687,3.265111
782.324212,3.276380
783.030522,3.281968
783.715154,3.285095
784.384946,3.287467
785.149728,3.472244
785.718148,4.010705
786.437327,4.739812
787.117604,5.432596
787.791376,5.847461
788.560349,5.719873
789.122860,5.149265
789.818024,4.431726
790.503574,3.737611
791.181336,3.361164
791.938954,3.307207
792.502671,3.313981
793.213217,3.349132
793.899468,3.378670
794.570531,3.365464
795.268885,3.348657
795.890245,3.331992
796.566541,3.308636
797.246873,3.288902
797.921507,3.272033
798.627120,3.270979
799.275177,3.275336
799.943543,3.278748
800.619297,3.284510
801.296157,3.281944
802.000350,3.274863
802.650673,3.264154
803.351496,3.253162
804.023190,3.249286
804.700566,3.259865
805.458397,3.374409
806.013131,3.717493
806.704059,4.229302
807.390994,4.770306
808.056510,5.126128
808.800388,5.135379
809.376266,4.852563
